force,acc1
0.005613,-0.618343
0.008204,0.841209
0,2.144968
0.010363,3.324743
-0.007772,4.338021
0.007772,5.055493
-0.004534,5.40037
-0.021374,5.306864
0.01317,4.79766
0.007125,3.820877
-0.006045,2.305842
0.010147,0.193522
0.007988,-2.459318
0.013386,-5.50882
0.007341,-8.724422
-0.000648,-11.872805
0.003239,-14.705951
0.003454,-17.005677
0.022238,-18.602283
0.007772,-19.383917
0.011443,-19.202379
0.018999,-17.944535
0.014034,-15.574186
0.02159,-12.200767
0.007341,-8.084527
0.007341,-3.540162
0.019431,1.068711
0.015761,5.359535
0.011875,8.997642
0.019863,11.734371
0.000432,13.374821
0.0095,13.939359
0.018783,13.631223
-0.01209,12.780051
0.006477,11.628042
-0.008636,10.437517
-0.002375,9.307257
0.000648,8.429503
-0.018568,7.802086
0.016193,7.453164
-0.007341,7.306987
-0.010579,7.331202
0.003023,7.435607
0.018783,7.499079
0.024181,7.413808
-0.006261,7.126484
0.004534,6.65639
0.003886,6.046381
-0.010579,5.407324
-0.005398,4.848359
0.011875,4.491941
-0.002159,4.419987
0.003023,4.650596
0.000216,5.088141
0.004318,5.674724
0.001511,6.316789
0.007341,6.934541
-0.00108,7.397583
0.001727,7.597023
0.007557,7.463471
-0.008852,6.988297
0.002807,6.137668
-0.000864,4.913754
-0.001727,3.383874
0.01209,1.719062
0.007125,0.112789
0.007988,-1.21331
0.000216,-2.070943
0.003454,-2.382925
0.009068,-2.075924
0.021158,-1.092236
-0.007125,0.295757
0.015545,1.887925
0.025692,3.667795
0.009716,5.339512
-0.003454,6.713549
0.005613,7.762385
0.015329,8.417174
-0.004534,8.619869
0.004966,8.423635
-0.006693,7.9781
-0.009068,7.335985
0.005829,6.533638
0.005398,5.619143
-0.003239,4.636343
-0.004966,3.485715
-0.00475,2.233838
0.007988,0.903152
0.028283,-0.515319
0.008204,-2.006534
0.002159,-3.612954
0.016193,-5.254144
0.011011,-6.846163
0.002591,-8.240223
-0.001511,-9.376203
0.01209,-10.148861
0.005182,-10.543401
-0.000432,-10.602829
0.00842,-10.284632
0.001511,-9.615886
0.019863,-8.591364
0.005829,-7.288246
-0.00367,-5.774296
0.01209,-4.142773
0.019647,-2.587199
-0.000864,-1.225788
0.009284,-0.173154
-0.005829,0.451009
0.007988,0.644432
0.014897,0.435622
0.001511,-0.129212
0.019863,-0.982751
-0.00475,-1.954257
0.002591,-2.900118
0.001511,-3.850418
0.014249,-4.654738
0.004534,-5.178984
0.016193,-5.438049
0.001511,-5.400913
0.005182,-5.023288
0.014465,-4.402282
-0.001295,-3.591304
-0.005398,-2.601057
-0.003239,-1.527512
0.004534,-0.482523
-0.003886,0.428767
-0.014897,1.14688
0.004102,1.55079
-0.004534,1.613621
0.001511,1.307458
0.013602,0.614053
0.004966,-0.403319
0.023533,-1.73726
-0.003886,-3.316063
0.014897,-5.074973
0.011227,-6.8869
-0.003886,-8.665143
0.006261,-10.29203
-0.006693,-11.628289
-0.011659,-12.580512
0.00367,-13.072553
0.011875,-13.098642
-0.001511,-12.687433
-0.013818,-11.907377
0.012306,-10.814253
-0.002159,-9.389075
-0.009931,-7.651272
0.00475,-5.682121
-0.010579,-3.526994
0.020079,-1.263022
0.019863,0.951286
0.008852,3.083876
0.009716,5.037097
0.005829,6.649189
0.010579,7.935835
0.015329,8.792481
-0.007341,9.247238
0.015545,9.300254
0.001727,9.05485
0.004966,8.54895
0.017272,7.785071
-0.007341,6.838815
0.004102,5.726458
-0.001727,4.489574
0.012522,3.247018
-0.002375,2.065222
0.003886,1.017421
0.002591,0.175521
0.00842,-0.418607
-0.014249,-0.768466
0.001511,-0.892105
-0.001943,-0.757764
0.008636,-0.440159
-0.001943,0.076344
-0.002807,0.720431
0.015545,1.435732
0.015113,2.196456
-0.000648,2.94411
-0.009931,3.671692
0.013818,4.34315
-0.00367,4.924801
0.007341,5.400666
0.003886,5.754273
0.013602,5.974821
0.009716,6.063395
-0.000864,6.043372
-0.004102,5.884126
-0.002807,5.63956
0.024613,5.315495
0.010795,4.996854
-0.009284,4.740649
0.011011,4.58165
-0.004318,4.568038
-0.002807,4.693157
-0.009284,4.951433
0.003239,5.290096
-0.002159,5.665995
0.020942,6.020637
0,6.342533
0.00367,6.609439
-0.006909,6.835955
-0.000864,6.980406
-0.005398,7.057243
0.009284,7.051177
-0.000432,6.925417
0.001727,6.65782
-0.013602,6.207748
0.000216,5.532443
-0.002807,4.582735
0.004102,3.359068
0.017272,1.850592
-0.0095,0.11851
-0.009931,-1.766111
-0.007988,-3.709271
0.012306,-5.598183
0.010363,-7.33204
-0.018568,-8.770534
0.005829,-9.807978
-0.00108,-10.398457
0.004534,-10.489596
0.006693,-10.122723
-0.013386,-9.334727
0.010147,-8.219608
-0.007988,-6.855386
0.016408,-5.335814
-0.015545,-3.76574
-0.000864,-2.254256
0.008852,-0.899158
0.011659,0.252506
0,1.138298
