force,acc1
0.002807,0.002811
0.015329,0.002663
-0.000864,-0.000986
-0.003886,0.00217
-0.011011,0.003255
0.000648,-0.003699
-0.001943,0.001825
0.004318,0.00069
-0.012306,-0.001332
-0.002159,0.004488
0.00108,0.003649
0.018352,0.003008
0.000648,-0.000592
-0.003454,0.001775
-0.007772,0.003797
-0.009716,-0.000789
-0.007772,0.000444
-0.005398,-0.000592
-0.003239,-0.001085
-0.013818,0.003008
-0.009284,0.001923
0.005613,0.003107
-0.006045,0.000986
-0.00367,-0.001134
-0.003239,0.006658
-0.001943,0.002614
-0.009931,-0.00143
-0.017056,0.00074
-0.005398,0.004488
0.01792,0.000247
0.007772,0.002121
-0.006261,0.003452
-0.00475,0.000592
-0.001295,0.002565
-0.010147,0.003551
-0.007988,-0.002417
0.006477,0.001184
-0.005829,0.002663
-0.010795,0.001134
-0.004966,-0.003649
-0.002591,0.008384
0.006909,-0.008631
-0.009931,0.01011
0.009284,-0.010653
0.008204,0.010899
0.007125,-0.015387
-0.002807,0.021207
-0.005829,-0.024609
0.011659,0.030676
-0.000864,-0.037975
0.201436,0.043449
1.019918,-0.044928
1.980894,0.056074
2.900849,0.031613
3.649811,0.365591
4.222381,0.226368
4.620071,0.363766
4.8282,-0.063373
4.915208,2.674935
4.896425,-4.400358
4.811792,-4.388275
4.633457,-4.457863
4.398125,3.53809
4.179201,5.204826
3.945596,-5.563661
3.754307,-6.897947
3.565609,-1.806699
3.384684,4.38359
3.192532,4.816056
3.010743,0.076985
2.841477,-9.905923
2.647381,-19.008561
2.464297,-19.630702
2.281213,-9.031572
2.106549,-2.972023
1.792844,2.931139
1.517354,15.312014
1.235171,24.85925
1.003725,33.250779
0.810277,35.152858
0.615319,35.770215
0.466131,36.215799
0.319102,31.542863
0.175744,20.005269
0.068873,9.062149
-0.013602,2.205037
-0.072975,-4.535242
-0.125655,-9.312731
-0.11853,-10.791715
-0.119609,-9.15314
-0.140552,-11.492074
-0.120689,-11.714841
-0.131916,-9.213751
-0.126518,-6.893804
-0.137313,-8.950395
-0.134722,-8.534106
-0.118962,-10.103242
-0.104712,-12.401489
-0.096076,-18.454972
-0.072543,-22.976109
-0.053544,-20.84924
-0.033465,-17.154074
0.004966,-13.085622
0.017056,-9.051644
0.037135,-3.080719
0.050521,5.535796
0.075565,12.245991
0.084201,18.769963
0.074486,26.978623
0.097587,27.935925
0.088735,23.446944
0.092406,19.746845
0.098019,13.689565
0.07427,4.944577
0.102337,-2.492262
0.083122,-4.861527
0.067361,-5.569924
0.068009,-5.027184
0.05268,-4.35686
0.037135,0.069883
0.024397,5.52179
0.003239,9.802553
-0.01792,14.0881
-0.035192,19.593369
-0.051816,24.928344
-0.07902,25.909171
-0.080963,22.094854
-0.072111,15.662021
-0.090679,6.647266
-0.077077,-2.367341
-0.090894,-7.377116
-0.082258,-9.493135
-0.085713,-8.575039
-0.071032,-9.009133
-0.061532,-10.293805
-0.082474,-10.939865
-0.0611,-11.600918
-0.0611,-11.279565
-0.050305,-9.796487
-0.053759,-6.18733
-0.041021,-2.351707
-0.039942,0.773595
-0.013602,3.46584
0.001727,6.403538
0.024829,7.468304
0.04426,7.06538
0.039078,7.159577
0.06477,7.623852
0.076861,7.071989
0.060668,6.309391
0.067577,5.00652
0.068009,1.479329
0.083122,-2.668721
0.063475,-4.765505
0.057862,-4.489524
0.058725,-4.069684
0.043828,-4.521482
0.036919,-4.283772
0.01792,-2.375182
0.028715,0.584758
0.023101,2.464151
-0.007772,1.940793
-0.012522,0.733352
-0.008204,-1.155461
-0.006045,-3.639783
-0.050089,-6.59997
-0.050305,-8.709479
-0.057862,-9.03458
-0.074486,-8.439909
-0.067793,-8.189672
-0.067577,-9.081038
-0.080315,-10.463951
-0.07794,-11.109518
-0.084849,-11.321731
-0.068441,-12.092515
-0.073406,-13.294236
-0.046419,-14.422868
-0.042317,-14.881965
-0.020079,-15.313789
-0.045555,-16.561671
-0.015329,-17.329052
-0.025045,-16.065783
-0.000864,-12.740942
0.012306,-8.831145
0.018136,-4.909118
0.020511,-1.37813
0.036056,1.142293
0.048362,2.452463
0.053328,2.646478
0.06218,2.593955
0.05635,2.866237
0.060236,3.430726
0.058293,3.983576
0.068441,3.44705
0.050737,1.288322
0.048578,-2.0921
0.045555,-5.651643
0.023533,-7.963798
0.021374,-8.289047
0.01317,-6.215293
-0.007772,-1.865486
-0.011875,4.023128
-0.023965,9.837322
-0.01792,13.975064
-0.02159,16.424914
-0.033249,17.08498
-0.024181,15.160214
-0.055055,10.203702
-0.052896,2.997373
-0.074486,-4.551023
-0.056998,-11.208202
-0.055918,-17.064858
-0.063691,-21.704703
-0.06218,-24.100944
-0.051169,-23.711877
-0.0516,-20.754699
-0.035624,-15.787287
-0.025476,-9.254093
-0.007557,-1.228648
-0.025692,8.274942
-0.007341,18.322653
0.004318,26.915545
-0.001727,32.363458
0.005613,34.66713
0.006693,34.682517
0.03109,33.294968
0.030442,31.022415
0.044907,28.614338
0.0516,25.980534
0.045987,22.993123
0.037135,19.696739
0.045987,16.449079
0.056134,14.075426
0.037999,12.430685
0.02634,10.946079
0.023965,9.325998
0.033033,7.63337
0.003023,5.81735
0.006477,3.164806
-0.002807,-0.621253
0.016193,-5.50226
-0.005182,-10.511493
-0.036703,-14.102994
-0.028499,-15.549872
-0.020511,-14.708959
-0.023101,-12.28076
-0.026556,-9.100469
-0.041669,-5.85276
-0.043396,-3.122935
-0.044044,-0.900785
-0.047066,0.885891
-0.053544,2.277041
-0.039726,2.865843
-0.047498,2.517612
-0.041021,1.31451
-0.023317,-0.53041
-0.020942,-2.84873
-0.027419,-4.841849
-0.010147,-6.092345
-0.01684,-6.173127
0.000864,-5.015102
0.008204,-2.813418
0.011659,0.234604
0.016408,3.726878
0.013602,7.021093
0.009716,9.556459
0.029363,10.715618
0.032385,10.275509
0.016408,8.493123
0.017488,5.958546
0.023533,3.493951
0.02159,0.941324
0.025045,-1.510744
0.019215,-4.061793
0.019647,-6.911213
0.029363,-9.452399
0.008204,-10.718676
0.009931,-10.668126
0.008636,-8.89516
0.00108,-5.936353
-0.014897,-2.355012
-0.019431,0.688621
-0.012306,2.638489
-0.047066,2.911215
-0.043612,1.642274
-0.025908,-0.870751
-0.023533,-4.368795
-0.03843,-8.433991
-0.041237,-12.932985
-0.042101,-17.229628
-0.040589,-20.674656
-0.032601,-23.373312
-0.031306,-25.119006
-0.030442,-26.145698
-0.022022,-26.023046
-0.001295,-24.432555
-0.011443,-21.316672
-0.010795,-17.00982
-0.031522,-12.181878
-0.007557,-7.199129
0.011875,-2.496454
-0.005829,1.754817
-0.003023,5.261837
0.012522,8.089459
0.015545,10.076956
0.022238,10.975078
0.018352,10.803995
0.024181,9.531701
0.026124,7.450057
0.028283,5.054851
0.024397,1.997016
0.018783,-0.80072
0.009068,-2.604262
0.006477,-3.23533
0.004534,-3.061831
0.00842,-2.076022
-0.00108,-0.664406
-0.001295,0.676341
0.010147,1.753042
-0.007557,2.550013
-0.003886,2.641053
-0.026988,2.372519
0.000648,2.054273
-0.017704,1.972406
-0.029794,2.317382
-0.024181,3.221521
-0.02159,4.428519
-0.036056,5.780855
-0.028931,7.164114
-0.026772,8.658534
-0.016408,9.962539
-0.036703,10.96122
-0.029794,11.31315
-0.023749,10.642974
-0.022886,8.832477
0.018352,6.024188
-0.006045,2.636023
-0.005398,-0.899404
-0.01209,-3.827338
0.003239,-5.592511
-0.001295,-5.77114
0.005613,-4.313855
0.008852,-1.409249
0.006045,2.390323
0.006693,6.339968
0.000432,9.852019
-0.011659,12.468759
0.006045,13.938274
0.004102,14.161633
0.015761,13.206894
0.009931,11.24445
0.003239,8.62268
-0.004966,5.705153
0.004966,2.999345
0.005398,0.888801
0.000648,-0.292552
-0.007772,-0.394738
-0.020727,0.666231
-0.009716,2.558249
-0.003239,4.782915
-0.007988,6.870872
-0.023101,8.352519
-0.009284,8.983586
-0.000648,8.613409
0.003239,7.368338
-0.009931,5.305286
-0.021806,2.778008
-0.017272,0.169258
-0.019647,-2.0776
-0.00475,-3.69857
-0.001295,-4.54259
-0.014249,-4.642261
0.003239,-4.026778
-0.003454,-2.966105
-0.018783,-1.780807
0.012522,-0.805306
-0.004318,-0.232582
0.018999,-0.35987
-0.000432,-1.162711
-0.003023,-2.573686
-0.00842,-4.376587
0,-6.19458
0.011875,-7.710552
0.014897,-8.710465
0.005613,-9.118815
0.010363,-8.986397
-0.023101,-8.561428
0.010579,-8.047983
0.004534,-7.56546
0.001511,-7.146655
-0.00367,-6.740575
-0.004966,-6.345442
0.019431,-5.967867
0.018568,-5.673491
0.000648,-5.367623
-0.006477,-4.964009
-0.02159,-4.42842
-0.007988,-3.8156
-0.002807,-3.12185
0.001295,-2.230386
-0.00367,-1.168777
-0.006693,0.008187
0.000216,1.142441
-0.015113,2.08919
-0.004318,2.663296
-0.024829,2.765284
-0.012522,2.318763
-0.018136,1.364962
-0.018568,0.02027
-0.015329,-1.486234
-0.003239,-2.975476
-0.006045,-4.275289
-0.015545,-5.298579
-0.022022,-6.070892
-0.014249,-6.587394
0.028499,-6.896961
0.000864,-7.074504
-0.001511,-7.010243
