force,acc1
-0.018783,-13.222775
-0.016408,-12.570205
0.014897,-11.320991
0.0095,-9.492395
0.018352,-7.137236
-0.010579,-4.401986
0.001511,-1.486036
0.002807,1.311304
0.011227,3.68624
-0.007125,5.361459
-0.001511,6.215885
0.003886,6.230039
-0.007125,5.488303
0.006261,4.215615
0.011011,2.651016
-0.009068,1.035718
0.001943,-0.41047
-0.002591,-1.562972
0.011443,-2.263084
0.008204,-2.375626
0.01317,-1.957167
-0.000648,-1.129914
-0.009716,-0.049959
0.006045,1.086564
0.001943,2.144524
0.018999,3.01345
0.017272,3.636972
-0.01684,3.982491
0.014681,4.137101
0.004102,4.205159
0.010795,4.257239
0.003239,4.340092
0.010147,4.593782
0.005829,5.012044
0.023317,5.542257
0.011659,6.003672
0.014249,6.252134
-0.004534,6.138161
0.002159,5.596555
-0.012954,4.61341
-0.008204,3.257325
0.002591,1.689175
0.012306,0.06722
-0.004102,-1.465718
0.012306,-2.846856
0.007125,-3.955613
0.018352,-4.806538
0.008852,-5.365749
0.012306,-5.595125
-0.005829,-5.537374
0.007772,-5.196442
0.010579,-4.687929
0.007125,-4.099028
0.009284,-3.56053
-0.002375,-3.071694
-0.011659,-2.640116
0.004102,-2.215739
0.003886,-1.750674
0.015329,-1.190575
0.006477,-0.48923
0.00475,0.326334
0.005613,1.237377
0.008636,2.229992
0.010795,3.268521
0.004102,4.325692
0.003239,5.352532
0.016408,6.246413
-0.003886,6.92305
0.000216,7.300378
0.015545,7.312165
0.001511,6.974488
0.012738,6.288185
-0.005829,5.349425
0.001511,4.225429
-0.00475,3.02578
0.010363,1.904249
0.013602,1.021761
0.006693,0.369093
-0.00108,0.135327
0.013818,0.244467
-0.011011,0.533172
0.014897,0.954886
-0.003454,1.329305
-0.006693,1.474249
-0.009716,1.34849
0.007557,0.912868
-0.010147,0.148347
0.003239,-0.84915
0,-1.96269
-0.007341,-3.049551
0.013602,-4.040735
-0.001511,-4.833909
0.011011,-5.30139
-0.003886,-5.414919
-0.006693,-5.112504
0.000648,-4.429653
0.028283,-3.496022
0.003023,-2.387758
-0.007125,-1.216368
-0.002591,-0.075505
-0.014681,0.976734
-0.003239,1.933445
0.014681,2.696338
0.008852,3.222902
0.006477,3.44271
0.009068,3.36247
0.006693,3.05685
-0.007772,2.562934
0.001727,1.945676
0.010147,1.28995
0.011011,0.626382
-0.005182,0.029393
0.008204,-0.58032
0.016624,-1.252518
0.019863,-2.010085
0.009716,-2.863771
0.018352,-3.768896
0,-4.651878
0.010147,-5.405795
0.021374,-5.933345
0.011011,-6.135103
-0.002807,-5.9402
0.013386,-5.344839
-0.003239,-4.386401
0.006693,-3.103307
0.0095,-1.632953
0.009716,-0.149284
0.004534,1.285758
-0.002375,2.491621
-0.002807,3.376526
0.007341,3.868863
0.010795,3.94787
0.00475,3.641854
0.006909,3.06908
0.004102,2.319207
-0.004966,1.513654
0.018136,0.739763
0.000432,0.109978
-0.001943,-0.324805
0.0095,-0.536772
0.010795,-0.580369
-0.004318,-0.525725
0.003023,-0.45239
0.000864,-0.479071
-0.003023,-0.616272
0.006693,-0.908035
-0.012522,-1.305978
0.00367,-1.801471
0.023965,-2.330649
0.020295,-2.863081
-0.014249,-3.338354
0.018352,-3.657241
0.016624,-3.795133
0.011443,-3.687079
0.016624,-3.321734
0.015329,-2.728937
0.032169,-1.99164
0.017704,-1.176026
0.001295,-0.389214
-0.007988,0.260101
0.004966,0.691333
0.009931,0.801312
0.004534,0.587767
0.002807,0.063373
0.005398,-0.71397
0.000648,-1.638082
0.00475,-2.575264
0.015329,-3.388461
0.000432,-3.956846
0,-4.163979
-0.016193,-3.972775
-0.002159,-3.374652
0.007772,-2.402258
0.000432,-1.116007
0.001295,0.396365
-0.005182,2.031834
-0.006261,3.668239
0.005398,5.203051
-0.001727,6.548335
0.023101,7.632236
0.006261,8.382652
0.001727,8.799632
0.016408,8.894568
-0.010579,8.678162
0.017488,8.187946
0.010795,7.46643
0.015113,6.574079
-0.018136,5.550789
0.005613,4.469008
0.007988,3.36469
-0.007772,2.271172
0.007557,1.206011
0.004534,0.146227
-0.004318,-0.947587
0.010795,-2.101914
-0.003239,-3.34156
0.003023,-4.635948
0.010579,-5.923235
-0.002159,-7.101135
0.00367,-8.088029
-0.004966,-8.787253
0.006261,-9.110628
-0.002159,-9.020229
0.011875,-8.483802
0.010147,-7.548593
0.008852,-6.263477
0.001727,-4.741241
0.00475,-3.128607
-0.00475,-1.530767
0.011011,-0.083149
0.013602,1.148014
0.015329,2.146004
-0.003886,2.909489
-0.00108,3.481523
-0.017272,3.940078
0.005829,4.307296
-0.001727,4.666969
0.02634,5.040253
0.019431,5.413686
0.007557,5.774493
-0.005613,6.08909
-0.010147,6.301451
0.016408,6.364775
0.00108,6.263033
0.000648,5.96841
0.013818,5.474988
-0.007557,4.810582
0.007125,4.032153
0.006909,3.177727
0.00842,2.304461
0.008204,1.482979
0.006477,0.742229
0.02159,0.090005
0.012738,-0.456681
-0.003023,-0.940486
0.014681,-1.35426
0.015545,-1.75531
0.001943,-2.172339
0.017704,-2.635628
0.019215,-3.129297
-0.015977,-3.644912
0.003239,-4.123638
0.000648,-4.495689
0.005613,-4.729947
0.007125,-4.773643
-0.001727,-4.626233
0.010795,-4.289197
0.010147,-3.789067
-0.002807,-3.179897
0.008204,-2.508438
0,-1.837818
-0.004966,-1.222483
-0.005829,-0.7299
0.019431,-0.359574
0.010363,-0.122702
0.004534,-0.019727
0.027419,0.007891
0.015761,-0.014056
0.000216,-0.045767
0.010147,-0.051833
-0.007988,-0.003797
0.012738,0.082853
0.011875,0.219019
-0.002375,0.388672
-0.00475,0.559162
0.002159,0.736558
0.002807,0.87588
0.017272,0.999075
-0.015977,1.09845
0.015545,1.194866
-0.002591,1.30366
0.000216,1.433168
0.009931,1.623188
0.0095,1.832837
0.014034,2.057232
