force,acc1
0.008636,0.005672
-0.010147,0.001825
0.007988,0.00143
0.003454,0.003797
0.008852,0
0.001943,0.003354
0.007772,0.000296
-0.001511,-0.000296
0.005398,-0.00148
-0.001943,0.00074
0.002375,0.004439
0.008204,-0.004044
-0.005182,0.00286
0,0.000493
0.018352,0.002022
0.016624,0.000937
0.014034,0.003551
0.005829,0.000493
-0.000432,0.002318
0.006261,0.002121
0.00842,0.007151
-0.006477,0.003748
0.00367,-0.001578
0.021158,0.004044
-0.022238,0.008877
0.012522,0.000641
0.001727,0.004143
0.009931,0.001578
0.000648,0.001233
0.018999,0.001233
0.023101,0.001332
0.005182,0.00286
-0.00367,-0.002121
-0.006477,0.00074
0.026124,-0.000542
0.006045,0.001529
0.005182,0.00074
0.004318,0.005474
0.010579,-0.001874
0.028067,0.0036
0.008204,4.9e-05
0.005613,0.005228
0.02159,0.001184
0.017272,0.005721
0.011011,-0.008187
0.010363,0.009568
0.005829,-0.008236
0.002591,0.012033
-0.010579,-0.009469
0.0611,0.021798
0.266638,-0.019431
0.576672,0.046802
0.969613,-0.007595
1.388245,0.809548
1.793276,1.234172
2.172183,-0.485038
2.510068,-2.733573
2.756843,-4.001429
2.975335,-2.782496
3.073355,-0.197024
3.149784,3.137188
3.191237,6.731697
3.162738,9.895714
3.104876,11.529802
2.980733,12.474184
2.836079,11.872608
2.643711,10.200792
2.445945,9.85409
2.274952,9.899462
2.082368,11.316158
1.928862,11.404683
1.809037,9.36634
1.665678,7.869848
1.578238,6.779486
1.476549,6.413205
1.372268,6.881179
1.267556,7.81116
1.160038,7.763766
1.059212,7.247954
0.961408,5.335912
0.846117,2.020935
0.738166,-1.370633
0.664976,-5.057416
0.571922,-7.938744
0.469585,-9.450673
0.35818,-9.797917
0.286933,-9.436272
0.20122,-9.194369
0.125655,-9.72182
0.088304,-10.615652
0.017272,-10.597552
-0.039942,-9.000157
-0.041237,-6.93242
-0.059589,-4.99932
-0.080747,-3.128064
-0.072543,-1.731736
-0.057646,-0.856054
-0.058725,-0.410667
-0.02526,-0.739615
-0.02526,-0.674319
-0.042748,-2.031242
-0.006477,-3.442809
0.008204,-3.605359
0.007988,-3.22374
0.023533,-2.13254
0.020295,-1.326839
0.029578,-0.81152
0.014034,-0.788588
0.033681,-0.561973
0.04793,-0.749331
0.031953,-0.910599
0.059373,-1.311896
0.052248,-1.174695
0.046203,-0.602956
0.03843,0.177247
0.043828,1.042524
0.03843,0.018247
0.042964,-0.250977
0.032169,0.522322
0.033249,0.528142
0.034328,0.002663
0.009931,-0.735078
0.002591,-2.33415
-0.003023,-4.639055
-0.005613,-6.925072
-0.031737,-9.379261
-0.010147,-11.171362
-0.014034,-11.89273
-0.019215,-11.368484
-0.027204,-10.12578
-0.028931,-8.67619
-0.025045,-7.47945
-0.01792,-6.550258
-0.009284,-5.846497
-0.013386,-5.011205
-0.027204,-3.936083
-0.017704,-2.608948
-0.014897,-0.79781
-0.020295,0.714217
-0.010147,2.502668
0.003239,4.319724
