force,acc1
0.01209,-0.002515
0.002159,-0.002663
0.002375,-0.004537
0.002807,0.001578
0.014465,0.001332
-0.004534,-0.001923
0.012522,-0.003502
0.010147,0.001627
0.013602,-0.005129
0.008852,0.001233
0.024397,-0.000641
0.011443,-0.000493
0.005613,0.001874
0.021374,0.001874
-0.004534,-0.000345
0.001943,-0.001233
-0.006909,0.000247
0.007125,0.000789
0.006693,-0.004093
-0.00842,0.003452
0.026556,-0.000345
0.018352,0.003551
0.02526,-0.001381
0.016624,-0.004093
0.018999,0.000444
0.01209,0
0.01209,-0.000592
0.013386,0.001973
0.020079,0.00074
-0.001295,0.002022
0.007341,0.000838
-0.001727,-0.001085
0.004966,0.001134
0.009068,-0.000395
0.023317,0.000789
0.013818,-0.003255
0.011659,0.00291
0.01792,-0.00291
0.009284,-0.00069
0.011659,-0.00291
0.005829,0.003354
0.010795,-0.00942
0.009716,0.003995
-0.001727,-0.005869
-0.00108,0.009864
0.010795,-0.010702
0.02159,0.015288
0.011227,-0.020368
0.001727,0.018445
0.03476,-0.026434
0.327522,0.029393
1.07087,-0.028653
1.914612,0.041032
2.719276,-0.098043
3.404115,-0.178184
3.908029,-0.366775
4.251744,-0.111803
4.449941,-3.54894
4.523563,-3.688706
4.536302,0.823406
4.467645,4.034767
4.38733,0.988472
4.275061,-8.486416
4.140555,-7.692798
3.959413,1.064717
3.767261,3.498242
3.552439,-4.405882
3.322936,-12.898068
3.096888,-16.026428
2.883146,-8.506094
2.665517,5.286792
2.446809,16.838195
2.246237,27.418436
2.032926,34.972307
1.829763,41.484936
1.603931,44.773528
1.373132,39.075477
1.162628,29.104258
0.945216,17.96663
0.748746,9.986557
0.546446,4.522222
0.381713,-0.681716
0.197981,-4.844413
0.075565,-8.202988
-0.031306,-11.92666
-0.100826,-16.13177
-0.13537,-16.528678
-0.167108,-14.516768
-0.188266,-12.37688
-0.216117,-10.941887
-0.148972,-12.629731
-0.125007,-15.582521
-0.118098,-18.291435
-0.131916,-18.247592
-0.101905,-17.014308
-0.096076,-13.972056
-0.099315,-12.226856
-0.077293,-11.495329
-0.080315,-7.816486
-0.039726,-6.84424
-0.049225,-5.58102
-0.018999,-4.91765
-0.020295,5.061559
-0.012738,19.059704
0.013818,26.312885
0.018783,27.949044
0.034544,28.702912
0.03476,29.726892
0.056566,27.417401
0.083554,22.477361
0.097803,12.582781
0.082906,3.889133
0.089383,-1.65273
0.083554,-5.249656
0.092406,-5.730107
0.066066,-8.877997
0.066929,-10.666695
0.060452,-10.119221
0.055703,-5.806648
0.039078,1.79289
0.015761,9.587184
0.004102,18.064821
-0.00475,25.522867
-0.026772,31.142996
-0.038646,33.913755
-0.039294,34.765765
-0.034328,31.645098
-0.050953,24.123531
-0.033896,15.847504
-0.066066,7.592831
-0.041669,1.824404
-0.058941,-2.738406
-0.067145,-7.224725
-0.056566,-12.324653
-0.051816,-17.356029
-0.049225,-21.365694
-0.035624,-24.963261
-0.043828,-27.313686
-0.041669,-30.733611
-0.00475,-33.516897
-0.015545,-33.923224
0.007125,-30.193042
0.00842,-25.176707
0.011875,-22.704566
0.01317,-21.455649
0.028715,-19.031987
0.055271,-13.129811
0.032169,-5.871205
0.047282,-1.16202
0.044044,1.186136
0.074054,2.987115
0.067361,5.782236
0.053112,8.499386
0.049657,11.413067
0.039294,13.88723
0.050305,14.990365
0.053975,14.834275
0.033465,12.262019
0.01792,8.11757
0.011011,3.514073
0.021374,-0.553787
-0.002375,-4.513049
0.001511,-7.251554
-0.001295,-8.043988
-0.042317,-7.971294
-0.011659,-7.673268
-0.028499,-6.950569
-0.030442,-5.93078
-0.042964,-5.48061
-0.042748,-5.374626
-0.051169,-5.959286
