force,acc1
-0.012954,0.002269
-0.020727,0.000493
-0.038215,-0.002121
-0.027851,-0.003649
-0.023749,0.004439
-0.024397,0.003156
-0.010579,0.000937
-0.030658,0.000296
-0.007341,0.001085
-0.01792,0.000345
-0.006045,0.000789
-0.006261,0.000395
-0.011443,-0.001578
-0.017488,0
-0.001943,0.003403
-0.020511,-0.000789
-0.009284,0.004291
-0.018136,0.000888
-0.011659,-0.002417
-0.014897,-0.00074
-0.024829,0.000838
-0.014681,9.9e-05
-0.024613,-0.001282
-0.016193,-0.00291
-0.023965,0.002663
-0.009716,-0.002959
-0.012306,0.007102
-0.019215,-0.004439
-0.040374,0.00868
-0.034328,-0.010801
-0.004534,0.01011
0.002807,-0.014993
-0.018136,0.023229
-0.034328,-0.025546
-0.026556,0.034473
-0.020295,-0.037827
-0.020295,0.044928
-0.007772,-0.054989
-0.023317,0.066727
-0.023317,-0.076738
-0.005182,0.092027
-0.014465,-0.113233
-0.010363,0.136462
-0.030442,-0.164178
-0.017056,0.199588
-0.011659,-0.245799
-0.009068,0.315287
-0.000648,-0.400705
-0.023749,0.587323
0.000864,-0.428323
0.266422,20.915178
0.834458,43.232306
1.527717,52.027006
2.246885,53.687182
2.901065,49.213538
3.465863,40.904024
3.910404,30.536637
4.225188,19.954077
4.380205,7.326171
4.375887,-4.565325
4.279163,-14.560957
4.066069,-21.453578
3.813248,-25.925841
3.519407,-26.024229
3.232258,-24.147499
2.967347,-19.948011
2.69488,-15.415827
2.458468,-10.780767
2.266963,-6.263329
2.057755,-2.827326
1.906408,-2.412614
1.741244,-4.011588
1.616021,-4.20442
1.49965,-3.226354
1.375291,-4.706324
1.250716,-9.233675
1.118369,-13.863311
0.982998,-15.945005
0.835538,-14.975372
0.661521,-11.973561
0.532197,-9.244081
0.378259,-5.038823
0.267718,0.781042
0.190857,5.238115
0.043396,7.481916
-0.037135,7.609796
-0.095428,6.635035
-0.149835,2.278027
-0.137745,0.674763
-0.127166,-3.039293
-0.112269,-10.29854
-0.097371,-15.233254
-0.115075,-18.794129
-0.096076,-16.187943
-0.107519,-10.92507
-0.102985,-3.934899
-0.077077,1.55735
-0.07427,5.064863
-0.066066,6.235859
-0.044476,6.222444
-0.036703,6.110642
-0.019215,7.070608
-0.003239,8.659225
-0.018352,9.337834
0.017704,7.712969
0.04901,3.548003
0.045987,-1.791509
0.036919,-6.011957
0.04318,-8.502444
0.053328,-9.105302
0.053544,-8.673576
0.044044,-8.277063
0.024613,-9.925699
0.049873,-12.665634
0.046203,-14.752161
0.043828,-15.475945
0.015113,-15.385349
0.025045,-15.387272
-0.008204,-16.310892
0.000864,-17.262326
-0.012522,-17.262967
-0.030874,-16.603788
-0.037135,-14.940455
-0.043828,-12.676731
-0.048362,-10.157837
-0.075565,-7.1362
-0.068873,-2.543059
-0.081395,2.714043
-0.078588,7.740291
-0.088088,12.114511
-0.067361,16.887611
-0.097156,22.096826
-0.060668,26.640058
-0.061532,28.664888
-0.063475,26.672804
-0.049225,20.508999
-0.0706,12.185479
-0.041021,4.086699
-0.051816,-2.228315
-0.034976,-6.473175
-0.012306,-8.684081
-0.022454,-9.399777
0.000216,-8.402576
0.002375,-5.600895
0.023533,-1.272294
0.014681,4.393898
0.040374,10.627587
0.045123,16.136455
0.045339,19.768545
0.042101,21.098688
0.037135,20.113077
0.018999,17.372402
0.027204,14.143583
0.029794,11.515845
0.013386,9.773505
0.020727,7.92459
0.005182,4.849395
0.004534,0.676587
-0.007341,-3.184483
-0.020295,-5.455359
-0.024181,-5.518486
-0.023317,-3.659707
-0.030874,-0.766395
-0.031306,2.339526
-0.049441,5.111567
-0.045339,7.252885
-0.058941,8.391529
-0.069304,8.326824
-0.059589,7.498191
-0.062395,6.478994
-0.053544,5.731587
-0.054623,5.806303
-0.057646,6.940163
-0.035192,9.220409
-0.04426,12.471866
-0.041669,16.168314
-0.035192,19.265111
-0.028931,20.883467
-0.018136,20.164861
-0.020511,16.771961
-0.026556,11.306097
-0.011875,4.988815
-0.011875,-1.12661
