force,acc1
0.003023,-0.002565
0.009284,-0.005376
0.033033,-0.002614
0.004318,-0.000888
0.02159,-0.001233
-0.004102,-0.002811
0.007341,0.002565
0.004318,-0.000395
0.003454,0.002614
0.001511,-0.002121
0.006261,0.000888
0.018783,0.000197
0.006045,0
0.003023,0.001627
0.011011,-0.003502
-0.003239,0.000395
0.008204,-0.001529
0.011875,9.9e-05
0.020727,-0.003354
0.002159,-0.002022
0.004534,-0.00286
-0.004966,-0.000493
0.004318,-0.003452
0.007125,-0.004389
0.024181,0.000641
0.006693,-0.00434
0.011659,-0.005376
-0.002375,-0.00503
0.017272,0.000789
0.014249,0.001874
0.011875,-0.000986
-0.002807,-0.003403
0.010363,-0.000937
0.018783,-0.001677
0.002375,-0.001726
0.0095,0.000148
0.018999,-0.00069
0.018352,-0.001134
-0.002159,-0.004044
0.001727,-0.002417
0.020079,-0.000838
0.004102,0.001085
0.005398,-0.001874
0.005182,-0.001184
0.011875,-0.002367
0.002807,0.00148
0.008636,-0.001923
0.008204,0.001627
0.034112,-0.004734
0.174232,0.00503
0.627409,-0.000345
1.297567,0.054545
1.935555,0.26957
2.516761,1.768922
3.004698,2.5943
3.391593,-2.238129
3.671401,-7.962516
3.872621,-7.419184
3.938471,-1.618651
3.929187,4.49855
3.843906,8.171573
3.705945,11.711586
3.484215,14.84039
3.227508,14.212627
2.988937,12.005026
2.748207,11.774022
2.548283,11.309796
2.350949,12.69557
2.180387,15.102612
2.05171,15.436442
1.921953,14.247544
1.812491,8.565472
1.721381,2.820717
1.63502,1.249066
1.572193,2.327591
1.461652,5.639511
1.35953,9.328069
1.263238,10.928226
1.148595,8.214627
0.999839,1.815527
0.864685,-4.567348
0.72694,-8.371111
0.550764,-10.799606
0.429212,-12.10657
0.289955,-12.088175
0.179846,-11.320893
0.060668,-9.073689
-0.03584,-7.057292
-0.124575,-8.769499
-0.168835,-11.904073
-0.210504,-11.969616
-0.237923,-9.030684
-0.202515,-4.155053
-0.119178,0.652964
-0.096292,2.481659
-0.06218,1.239054
-0.066066,0.038024
-0.065418,-2.159615
-0.040589,-5.205369
-0.030442,-6.786144
-0.014249,-6.133771
-0.014034,-4.274253
0.007341,-2.542024
0.015545,-0.322931
0.028067,2.327394
0.049657,5.00583
0.049441,5.613027
0.045339,4.030082
0.04901,1.778095
0.052248,2.344655
0.053328,4.166544
0.071032,4.193767
0.056566,3.711293
0.035408,1.148507
0.056782,-1.444906
0.047498,-2.624384
0.041885,-3.826746
0.036919,-4.425412
0.026772,-2.56037
0.022022,0.175866
0.005182,1.087304
-0.011875,0.27894
-0.017272,-1.766111
-0.027635,-4.843772
-0.037135,-8.648572
-0.033896,-11.759868
-0.053759,-14.121488
-0.065418,-15.647423
-0.034544,-15.284002
-0.064986,-14.153989
-0.072975,-14.848429
-0.062395,-16.196721
-0.046419,-15.726725
-0.04901,-13.666633
-0.037567,-9.645378
-0.041885,-4.5563
-0.043828,-0.528881
-0.032385,2.711627
-0.018136,5.82317
-0.015113,8.148837
0.01209,9.268346
-0.004318,10.121391
0.020511,10.872004
0.018136,11.684363
0.023101,12.180991
0.042101,11.88114
0.044907,11.325627
0.049873,10.761237
0.045987,9.779522
0.055055,8.5779
0.048146,8.49406
0.041885,10.077745
0.038215,11.700243
0.041669,12.999761
0.030442,13.999674
0.048146,14.45522
0.039294,14.677593
0.017704,14.621667
0.044692,13.585998
0.01209,10.900707
0.005613,7.48088
-0.003023,4.000837
-0.009284,0.302711
-0.02634,-3.015571
0.004318,-5.653961
-0.013386,-7.54519
-0.037351,-8.48972
-0.036056,-8.621201
-0.018136,-8.370963
-0.039726,-7.038009
-0.034112,-4.12349
-0.040374,-0.796972
-0.031522,1.742882
-0.044907,3.212594
-0.033033,3.80189
-0.014465,2.988594
-0.02267,1.02837
-0.011227,-1.68232
-0.00367,-4.251617
-0.015545,-5.825438
0.001943,-6.105266
-0.0095,-5.539939
0.01317,-4.481634
0.015761,-2.965809
0.015329,-1.179528
0.031522,0.97846
0.038215,3.511459
0.022238,6.007667
0.030658,8.1913
0.050737,9.852906
0.031306,10.663687
0.045339,10.099938
0.015977,8.372838
0.04793,6.426422
0.027204,4.637428
0.008204,3.158345
0.004102,2.165386
0.016624,1.815626
0.009284,2.010627
0.004102,2.324829
0.004102,2.366108
