force,acc1
-0.006693,0.000444
-0.008204,-0.002071
0.011227,0.003107
-0.017488,-0.000542
0.001511,0.000296
-0.005182,-0.00069
0.00475,0.001332
0.000648,-0.000197
-0.000864,0.001726
0.002807,0.000838
-0.005829,0.002417
-0.009284,-0.001036
-0.001295,0.000542
-0.008852,0.002811
-0.005182,0.002762
-0.001295,0.000247
0.003454,0.002417
-0.02159,0.003008
-0.004318,-0.003896
-0.00108,0.00074
0.006045,-0.00069
-0.003454,0.000493
0.006045,0.00143
-0.003886,0.00434
0.018568,-0.001282
0.007341,0.001627
-0.011227,0.003945
-0.011011,0.005474
0.014249,0.005524
0.003023,0.001677
-0.000648,0.002417
-0.003886,-0.000247
0.00842,0.003649
-0.007341,-0.001627
-0.010579,0.005573
-0.002375,-0.004241
0.011659,0.008187
0.007341,-0.008384
0.000216,0.016275
0.018136,-0.012576
0.023533,0.023179
-0.003239,-0.020467
-0.001511,0.027914
-0.006045,-0.031169
0.002375,0.03975
0.002159,-0.046457
0,0.057603
-0.006477,-0.066776
0.017488,0.080388
0.107303,-0.094986
0.899661,0.117918
1.920442,-0.13439
2.883146,0.144106
3.715877,-0.185533
4.369626,0.25941
4.827984,-0.726497
5.095702,2.020984
5.198687,-5.335123
5.163711,-4.194458
4.999626,3.479057
4.684842,3.884398
4.275277,7.836558
3.783454,3.767515
3.313653,-1.37665
2.834568,-11.732053
2.421117,-17.364413
2.049983,-15.824374
1.767584,-15.60787
1.519513,-19.089738
1.374643,-16.021151
1.170617,-4.464619
0.998327,12.956361
0.807471,26.402248
0.685918,36.448677
0.536946,36.045259
0.421223,27.313538
0.367032,23.480775
0.301398,13.964905
0.258866,0.659573
0.206833,-11.230937
0.155881,-19.588684
0.115291,-25.730247
0.068873,-24.95034
0.048146,-20.752923
-0.004318,-11.034506
-0.036271,2.623003
-0.092406,14.33602
-0.093485,22.538662
-0.123496,24.213437
-0.122848,26.295032
-0.107087,26.05091
-0.115291,28.437534
-0.104064,33.246982
-0.084417,32.938747
-0.087656,29.135723
-0.074054,21.881605
-0.06477,15.595442
-0.025045,9.506697
-0.028499,5.93729
0.002375,1.589307
0.010147,-6.261603
0.029794,-14.328375
0.036487,-17.035761
0.054191,-16.890175
0.084633,-13.344046
0.094565,-8.157123
0.092622,-4.779906
0.101258,-3.272417
0.106223,-3.276411
0.098667,-2.812876
0.084201,-2.124847
0.084849,-3.344124
0.076213,-9.108951
0.061964,-16.894811
0.066929,-23.553568
0.018568,-26.10511
0.029794,-26.913918
0.029578,-24.786014
0.009931,-20.108195
-0.034112,-12.72304
-0.035624,-5.233874
-0.053112,1.110039
-0.058509,5.92432
-0.069952,8.956955
-0.089167,12.592891
-0.093269,15.193455
-0.093701,15.403892
-0.097587,13.575592
-0.068225,11.862005
-0.083554,9.893347
-0.0611,9.698345
-0.053759,11.537397
-0.06585,12.529715
-0.043612,12.473444
-0.041885,10.672712
-0.039726,8.3972
-0.048578,6.297358
-0.024181,5.810051
-0.011659,6.619253
0.003886,5.988482
0.010579,4.875286
0.015761,2.91447
0.041021,0.444598
0.054191,-2.382334
0.043396,-6.321819
0.041669,-11.286124
0.063691,-16.262215
0.080099,-17.618152
0.079452,-14.143583
0.055055,-7.542823
0.059805,1.45107
0.056998,10.943761
0.057646,18.52091
0.054623,22.509762
0.032385,23.290804
0.031306,19.881581
0.023317,12.403561
0.016193,2.086724
-0.003886,-9.133906
-0.014249,-19.415481
-0.023749,-26.530178
-0.026988,-29.184153
-0.036919,-27.693135
-0.040158,-22.755906
-0.053112,-16.763479
-0.049873,-10.750387
-0.063907,-5.313325
-0.059589,-1.587729
-0.068225,-0.198651
-0.071463,-0.378216
-0.063907,-0.787848
-0.065418,-0.490167
-0.037783,0.882094
-0.027851,3.587802
-0.038215,6.138407
-0.024613,6.937204
-0.014897,5.54635
0.003454,2.286016
-0.010363,-1.703083
0.017056,-5.321117
0.039294,-8.002413
0.014897,-9.420293
0.030226,-8.705336
0.025045,-5.970185
0.047714,-2.941101
0.065202,-1.092581
0.036056,-0.9069
0.044692,-2.324089
0.067145,-4.443166
0.03584,-6.61664
0.065202,-8.696509
0.042101,-10.617378
0.032169,-11.888143
