x,y,z,f_66_65,f_115_04,f_192_04,f_204_79,f_267_44,f_309_25,f_350_44,f_388_78,f_484_86,f_509_61,f_518_34,f_548_56,f_612_5,f_669_83,f_688_54,f_757_04,f_763_77,f_839_21,f_854_85,f_939_39,f_942_96,f_989_01,f_1066_7,f_1121_2,f_1158_1,f_1159_9,f_1221_6,f_1275_2,f_1278_4,f_1345_8,f_1419_8,f_1432,f_1505_9,f_1540_5,f_1573_2,f_1587_5,f_1608_4,f_1691_1,f_1712_6,f_1741_9,f_1809_2,f_1875_6,f_1940_6,f_1989_4
-124.763877389318,-60.7476642436968,1.29232415630702,-1.51860446615845e-12-2.72680924320152e-07i,-8.8422941364261e-11-3.77568101713745e-07i,3.29004631694969e-11-4.98969158738222e-07i,3.94506731554273e-11-2.70572398189125e-07i,-4.94832809488683e-09+2.53262841567302e-06i,-7.36469245120322e-11+5.13523622803958e-07i,5.53682638941122e-09-3.40385292176812e-06i,5.86641828156706e-10-2.90704604263648e-07i,9.91832418032595e-10-3.00026454890046e-07i,-6.17784198475187e-09+2.37302687587053e-06i,1.73066201176723e-10+6.28127870570651e-07i,-7.52295700034049e-10-1.19878212131184e-07i,4.75412857554245e-10-1.03873300433941e-07i,-9.25423625678169e-09-1.21659382984218e-06i,-2.35639542464041e-09+1.00051429768726e-06i,-3.23218300629008e-10+7.60092300501137e-07i,3.19203312803521e-09+4.74300041187199e-07i,1.20732866853874e-08+7.23493616819441e-07i,1.84517092319639e-08-1.14905760377871e-06i,1.67294449221537e-09+7.68254325910415e-08i,1.66023580081397e-09+5.84937361118157e-08i,2.1593993093947e-09+2.17343141455131e-07i,3.1580082037649e-08+8.67099133149472e-07i,3.00004189720441e-09+2.60531831879363e-07i,6.64544513613262e-06-1.96460218840373e-05i,1.5552266212215e-07-3.17242949862352e-06i,4.67544160610564e-09+3.8304260287935e-07i,9.62701314308264e-09-1.77690572222001e-06i,2.35909932265679e-09-8.61860718246464e-07i,3.18162319758665e-09-3.18739809185657e-07i,-1.11186792963928e-09-3.4929721704331e-07i,-2.34121920808663e-09+1.76860874798489e-07i,7.90886782717441e-09-1.03337683718712e-06i,-1.42031435874174e-09-7.30412117046137e-07i,-3.74245061449332e-09+5.19798918639586e-07i,-9.68564991678569e-10-2.36145949839012e-07i,-4.07493247536376e-08+2.05496461598022e-06i,2.00321723277864e-09+1.89308969861876e-07i,1.22325125655399e-09+1.30892536666828e-07i,5.53866584169583e-10+9.09590802358214e-09i,5.62726596028828e-09-5.25274131927017e-08i,-3.70861848729204e-10-1.35727529752537e-07i,-1.98002119675317e-06+1.31136191221612e-05i,3.24270444176649e-08-1.61762308717403e-06i
-124.763877389318,-47.2534519757051,2.07796321734583,-9.05225453505647e-13-2.40866848561191e-07i,-5.88586004516561e-10-1.587875562028e-06i,9.05877174391041e-11-7.29566534595544e-08i,3.08000885484945e-11-1.63141295953927e-07i,-1.75098977396604e-09+1.16432963502015e-06i,1.50697590282292e-10+1.75420297258091e-07i,3.19117666406291e-09-1.72006201925041e-06i,5.66739468311279e-10-2.19836567318708e-07i,1.11026437267022e-09-2.61561541508955e-07i,-6.62191384664753e-09+2.48000342142507e-06i,1.2345173457595e-10+5.57111947866182e-07i,-1.85848137878494e-10-6.35273512831728e-09i,7.15106113917807e-10-1.24469682247911e-07i,-1.16544511327306e-08-1.54861960039886e-06i,-3.21288373321825e-09+1.32485163278319e-06i,-7.57242658750064e-10+1.40275412535159e-06i,2.54209916425324e-09+7.29701278351314e-07i,1.91720556215556e-08+1.30849497483554e-06i,6.73309378224704e-08-3.4978805136893e-06i,1.94655034974199e-09-1.19838705193836e-08i,1.68210754495249e-09-4.74134320663942e-08i,1.80896785524088e-09+1.75458369605502e-07i,-3.71816802069887e-08-1.01104305199646e-06i,4.80765248556789e-09+2.5539968952128e-07i,6.04137323126974e-06-1.80926036781564e-05i,1.10658856057464e-07-2.60708174547545e-06i,1.0055289675437e-08+3.8452058380865e-07i,5.1514253195078e-09-8.15461767277e-07i,-2.43260216597506e-09+2.18503089109847e-07i,5.44217909904292e-09-3.51684848808258e-07i,8.4976512163182e-09+4.17345646659834e-07i,6.62665326314694e-09-1.34368859050271e-06i,1.29923495477707e-08-1.64754908456807e-06i,-1.48475618340227e-09-7.24131196953617e-07i,-3.65644705766783e-09+7.81008565841055e-07i,1.10266501671265e-09+3.12038817892029e-07i,-4.03862896650774e-09-1.68968883081041e-06i,1.89473534112121e-10-4.94146297926017e-08i,-4.17052093730491e-10-4.16660780783051e-08i,-1.24106809405834e-10-8.0107628164739e-08i,5.33403194272665e-09-1.41419752390765e-07i,-9.81973633660381e-10-2.04045471761298e-07i,-1.60374550038922e-06+9.97825351436245e-06i,2.70707957045835e-08-1.46417656516321e-06i
-124.763877389318,-33.7592397077134,2.79715503876077,-3.8681536638342e-13-2.18223271491121e-07i,-1.00442411041738e-09-2.60385768122081e-06i,1.47204954746231e-10+2.83930289615545e-07i,2.5186030174577e-11-1.04614339358311e-07i,1.70417110280345e-10+3.35046741834863e-07i,3.20111981532576e-10-9.48599427585699e-08i,2.60876981349938e-10+3.40709813543766e-07i,4.5292737370143e-10-5.56413037227384e-08i,8.72268352124058e-10-6.20157491412449e-08i,-2.78817060789531e-09+1.1006617251465e-06i,3.30074975357124e-10+1.30460162692454e-07i,1.10377548538481e-09+1.78990708270739e-07i,1.17626785725633e-09-9.96221926257928e-08i,-7.10113095214239e-09-1.100654621502e-06i,-1.6666854848382e-09+8.89221075794779e-07i,-1.99045406970258e-09+2.03963324159498e-06i,1.0566040514479e-09+8.35564825644172e-07i,1.34805149260188e-08+7.85421636891671e-07i,4.2442070520429e-08-2.38338167417459e-06i,1.05518541685083e-09-5.86159200745759e-08i,1.28155079518798e-09-6.28625665460589e-08i,2.00424681272357e-09+2.6133640585809e-07i,-6.10057550278553e-08-1.63153296421605e-06i,6.5782540763894e-09+3.52445767596089e-07i,8.2636715478414e-06-2.48526044732948e-05i,1.18691401628969e-07-3.17249557828211e-06i,1.72921329298596e-08+4.73537830875507e-07i,1.98598990037992e-09+4.04813098115886e-07i,-8.5391333757488e-10+7.67961719531759e-07i,7.40685251795385e-09-4.53831267518516e-07i,1.35465067585109e-08+8.91642049095272e-07i,1.14935310037511e-08-2.0761067161099e-06i,1.77484951934605e-08-2.07342306632377e-06i,4.77307499863179e-11-4.08194206596547e-07i,-1.85035992235817e-09+4.6953338572116e-07i,2.59431616271368e-09+6.27864300258865e-07i,3.82275111064589e-08-5.51708856938654e-06i,-3.90005062584428e-09-4.94416709234989e-07i,-1.07754673684626e-09-1.25392931972806e-07i,-1.4996851961195e-09-2.57163342060881e-07i,-6.03745050995812e-10-3.13285054812869e-07i,-4.12066313467657e-10-5.24437372405874e-07i,-3.37077783051808e-06+2.19013835625181e-05i,-5.46037379951856e-09+7.38355326934734e-07i
-124.763877389318,-20.2650274397218,3.33491657750515,-2.55697746798458e-14-2.04807926244126e-07i,-1.30256050841473e-09-3.33935987441455e-06i,1.95594629910255e-10+5.52389146933148e-07i,2.15943437280206e-11-8.52618992316822e-08i,1.06947179462543e-09-6.16532196751417e-08i,4.29904764485541e-10-2.83104654931933e-07i,-2.49423309486516e-09+2.25577838532124e-06i,3.04614980737202e-10+1.27882942950024e-07i,4.91108686531678e-10+1.81335574792854e-07i,2.52952510674712e-09-8.04480934447313e-07i,5.91020526321211e-10-3.81404613771674e-07i,2.53112751255266e-09+3.70371925867049e-07i,1.63421523463706e-09-6.14441939700013e-08i,2.97143653299682e-10-3.21073656302285e-07i,9.52388990556641e-10+9.039522938781e-08i,-3.63045930097665e-09+2.61093965902432e-06i,1.25611943374946e-10+8.77316636070129e-07i,-4.04305840814495e-11-4.16455793742478e-07i,-3.99848574648922e-08+1.45300447281423e-06i,-3.08821527517315e-10-1.55525613359916e-08i,8.52691803637775e-10+3.77999053159007e-08i,2.84115056531248e-09+5.00484967327033e-07i,-2.01859559048696e-08-4.4056843045565e-07i,7.79938277873975e-09+5.83600237830804e-07i,1.4274778487161e-05-4.25054056156406e-05i,2.70571743391871e-07-6.15179950948867e-06i,1.82472579338538e-08+5.21018600271666e-07i,4.14104503902579e-09+3.86411343817302e-07i,4.66152462698506e-09+2.03738318976799e-07i,8.06113442033268e-09-7.33528704469163e-07i,2.57708043885849e-09+1.27682242068258e-07i,1.26679166378655e-09-1.70852939951281e-07i,2.24095320933172e-08-2.44139216997701e-06i,2.25572158177069e-09-1.83374318740547e-07i,1.08764299925371e-10-4.88764218750706e-07i,6.80608859371286e-10-8.62821278124429e-08i,1.63914768571996e-08-3.28658131775572e-06i,-5.72957485002115e-09-6.16362761686976e-07i,1.64200983529419e-10+6.91082173820088e-08i,-1.32944799481773e-09-2.27063114429935e-07i,-1.73202200715673e-09-2.63742711234105e-07i,1.57901422144154e-10-4.67858640746489e-07i,-2.90712249877791e-06+1.84061965258779e-05i,-3.15742400571266e-08+2.2440662116644e-06i
-124.763877389318,-6.77081517173009,3.61414065533123,1.18374834555833e-13-1.99023280059676e-07i,-1.45247815980087e-09-3.71189344867224e-06i,2.24576612290689e-10+7.01774112193304e-07i,1.88030001104612e-11-8.82768242902553e-08i,1.33179957867927e-09-1.81964358019285e-07i,4.78607796690166e-10-3.6998297806597e-07i,-4.0701851287636e-09+3.34618514749956e-06i,2.07243507687323e-10+2.40278080140917e-07i,2.31307709590786e-10+3.31813780082769e-07i,6.07254905884597e-09-2.08053557759209e-06i,7.38460839785691e-10-6.72676877415415e-07i,3.36351733840522e-09+4.7816917961151e-07i,1.87467538358814e-09-3.93198334858658e-08i,5.0562507059606e-09+1.88848151004633e-07i,2.74626190062604e-09-4.68447367156383e-07i,-4.6557738053246e-09+2.88307701681889e-06i,6.01308695331358e-10+9.05241312683281e-07i,-8.68074572095275e-09-1.2028997653527e-06i,-1.05006850813663e-07+4.4876772691809e-06i,-1.25776604015853e-09+3.67387723885542e-08i,5.92361635760923e-10+1.32802639316063e-07i,3.54666214655147e-09+6.76835473420705e-07i,2.82874786388884e-08+9.33221461712349e-07i,8.02530402282169e-09+7.33085876211294e-07i,1.82113073223725e-05-5.38087355584281e-05i,4.49043686640407e-07-9.09462006337404e-06i,7.39726443437215e-09+2.20539824970121e-07i,7.33417425813088e-09-3.99358957786158e-07i,6.81446640570282e-09-4.63671794237347e-07i,7.67845247632987e-09-9.40785376894821e-07i,-1.21802977835981e-08-9.65618305627277e-07i,-1.26746933824787e-08+2.33158831069956e-06i,2.43461387599171e-08-2.49578713156981e-06i,3.74908023229402e-09-1.06154916653866e-07i,1.25405439384608e-09-1.29560380048618e-06i,-2.04382012720729e-09-9.92455786449802e-07i,-3.07464442567376e-08+1.64915656936189e-06i,-4.57082112196584e-09-4.23459325160506e-07i,2.9603638607142e-10+1.99631093055529e-07i,-3.06721801733405e-10-3.76200072014374e-08i,1.49074557333216e-09-7.33294863061305e-08i,5.04554693801002e-10-1.03048232352133e-07i,-3.36139964686596e-07+4.0248965089985e-07i,-3.37487708717765e-08+1.95912925947687e-06i
-124.763877389318,6.72339709626159,3.61613541360288,3.96275321267598e-14-1.98601034935632e-07i,-1.4550571259953e-09-3.71824958170342e-06i,2.28348203049326e-10+7.24207665637504e-07i,1.59148967886915e-11-9.83617932416682e-08i,1.35602623028819e-09-1.92712403976963e-07i,4.78788153969411e-10-3.6673443196987e-07i,-4.11623323505317e-09+3.37882678221865e-06i,1.99270605591718e-10+2.42290180099338e-07i,2.22149374028986e-10+3.38324251067022e-07i,6.37268497115316e-09-2.21324977871372e-06i,6.97466397905979e-10-6.3909370636785e-07i,3.40255231292794e-09+4.86430758721531e-07i,1.85392684803005e-09-4.62563949709741e-08i,4.68797683461111e-09+1.45935324116168e-07i,2.76027372669143e-09-4.76205969916367e-07i,-4.72157147842882e-09+2.91061172800798e-06i,1.98980519697117e-09+9.73369326238677e-07i,-6.42925349176738e-09-1.03631757027384e-06i,-1.06079004717209e-07+4.5340294647426e-06i,-1.20282859278795e-09+4.22129412910285e-08i,6.29824005734462e-10+1.37398840962519e-07i,3.58353930418446e-09+6.87516242265379e-07i,2.98318933770237e-08+9.787548906275e-07i,7.96098175324309e-09+7.26251035848931e-07i,1.78917261548464e-05-5.26494504417728e-05i,5.23119676113944e-07-1.00091067380341e-05i,-7.49092809100253e-09-3.10638857403466e-07i,7.08574206168888e-09-6.45297993180277e-07i,4.4419492649351e-09-3.55405881264924e-07i,7.71610006283487e-09-9.61914372106578e-07i,-1.26661213346708e-08-1.00326089668613e-06i,-1.30170990743977e-08+2.3884917439726e-06i,2.47660858660394e-08-2.55405362996332e-06i,3.78436523994458e-09-1.11330117028713e-07i,1.23629027084833e-09-1.33171675757745e-06i,-2.29540963984229e-09-1.0432244292121e-06i,-3.2103639042566e-08+2.70644163913242e-06i,-4.20255939125609e-09-4.00949816513567e-07i,-1.40899714534619e-09+5.1920027890966e-08i,-3.32962796863839e-10-3.05747837539085e-09i,1.7175584990553e-09-7.80786243456738e-08i,9.3530624495845e-10-8.8806464838191e-08i,-2.88689372533908e-07+5.69504452773046e-08i,-3.43155652156288e-08+1.97786815527603e-06i
-124.763877389318,20.2176093642533,3.34195607568372,-2.69132597271925e-13-2.03953673592666e-07i,-1.30078432952996e-09-3.33491890309446e-06i,2.04752798483228e-10+6.06365883180428e-07i,1.36615737089524e-11-1.14671376482319e-07i,1.07589521579148e-09-6.37893480971632e-08i,4.24672789740118e-10-2.63000851462961e-07i,-2.48115131580612e-09+2.25042190791642e-06i,2.91720515957305e-10+1.25595281566845e-07i,4.82799014624086e-10+1.85333595207225e-07i,3.07085450966585e-09-1.05339898100088e-06i,4.91462124523541e-10-2.70523724019955e-07i,2.52441007516041e-09+3.73688819068478e-07i,1.56523876729075e-09-7.67882216279144e-08i,-9.54723098260205e-10-4.60589354719212e-07i,8.80979574790981e-10+1.0658602300426e-07i,-3.60066756424949e-09+2.57003314467491e-06i,3.25244251181349e-09+9.99046941189432e-07i,5.68474643529132e-09+1.4130281854678e-08i,-3.71721945445826e-08+1.3093055113725e-06i,-4.70278787886922e-11-9.81278419395513e-09i,9.80502826403861e-10+3.71368968830607e-08i,2.86402146187665e-09+4.85763976669606e-07i,-1.85771030820904e-08-4.09053613865945e-07i,7.39416335828677e-09+5.25211190710314e-07i,1.21867007107332e-05-3.5810272118135e-05i,4.26232189330552e-07-7.84061298286705e-06i,-1.70488482600302e-08-7.47244542341778e-07i,3.72705603721458e-09+1.56596069863644e-07i,2.52682162964487e-09+3.07836380497047e-07i,7.93271043359871e-09-7.13910518217313e-07i,1.92364907165393e-09+7.49350838752213e-08i,7.54242724871618e-10-8.80094771602649e-08i,2.14144568863578e-08-2.2631522571907e-06i,2.60468206207724e-09-1.18307006967946e-07i,7.88941440733573e-11-4.77481062941675e-07i,4.2837956345615e-10-1.03795838393389e-07i,1.78160781971478e-08-9.50509051676377e-07i,-4.70197171383415e-09-5.4360987242276e-07i,-2.92918809531424e-09-2.12307703818554e-07i,-1.44092583434263e-09-1.64383045531536e-07i,-1.71253901855492e-09-2.58567037368169e-07i,1.35164277962451e-09-4.14290610052568e-07i,-2.72213029674846e-06+1.71589472757087e-05i,-2.89286626577752e-08+2.03834991743677e-06i
-124.763877389318,33.7118216322449,2.80930218124488,-7.73464494150488e-13-2.17087544956624e-07i,-9.99938531169565e-10-2.59305459260036e-06i,1.60380862890398e-10+3.59821536739103e-07i,1.3806073277453e-11-1.48252661376162e-07i,1.4697920995109e-10+3.45450418128994e-07i,3.10999017557657e-10-6.49623872259322e-08i,2.73896870419421e-10+3.35122410878387e-07i,4.34686159233983e-10-5.72171465388851e-08i,8.55348953373706e-10-5.38755412168379e-08i,-2.10657833366186e-09+7.96189875154141e-07i,2.27870687283766e-10+2.4081623561638e-07i,1.11657968614915e-09+1.84451629134168e-07i,1.12248271313847e-09-1.11869081342967e-07i,-8.20321424115028e-09-1.22489224515108e-06i,-1.68068992542582e-09+8.85867107128632e-07i,-1.99031719488338e-09+2.00429544583129e-06i,3.18836885077853e-09+9.12147553918893e-07i,1.66022233486683e-08+1.01323042511383e-06i,4.11418757390954e-08-2.33051405672242e-06i,1.42941661391515e-09-4.61359556938306e-08i,1.45969259628391e-09-5.89569254655223e-08i,2.05722685991686e-09+2.54296615171057e-07i,-5.68492680150073e-08-1.5278187264193e-06i,6.3391022891884e-09+3.20644752881215e-07i,6.5642272192739e-06-1.93535894373785e-05i,2.6203978620323e-07-4.77222323159724e-06i,-1.53654700008654e-08-7.10451396079864e-07i,2.78277330798772e-09+8.62574236373507e-07i,5.96746402571712e-09+3.63836362253871e-07i,7.30346942045786e-09-4.46813066253892e-07i,1.22192992267377e-08+7.94507848316805e-07i,1.02593935656706e-08-1.85318563560134e-06i,1.62426289670244e-08-1.78299901518033e-06i,1.05215346532755e-09-2.58611141616302e-07i,-1.78495683889453e-09+4.260599688198e-07i,2.18131447893822e-09+5.66469546129309e-07i,4.01173115253285e-08-2.6403892067547e-06i,-3.32676111950476e-09-4.55679950451805e-07i,-2.26550788942178e-09-2.52450050495884e-07i,-1.47222334982992e-09-2.34184988592538e-07i,-7.32189309671406e-10-2.86499566036287e-07i,6.11280710377465e-10-4.53936773706756e-07i,-3.01845492271422e-06+1.94788147378733e-05i,-5.07081658657255e-09+6.49417213815599e-07i
-124.763877389318,47.2060339002366,2.081138143489,-1.40583396743513e-12-2.38908848235002e-07i,-5.87988820125799e-10-1.58613162126558e-06i,1.06073282521036e-10+1.86939051147851e-08i,1.77306488400272e-11-2.0987218176014e-07i,-1.70103133670179e-09+1.14296637127064e-06i,1.45960077459649e-10+1.98331895882218e-07i,3.16984219480034e-09-1.70175368122112e-06i,5.52765520161784e-10-2.20956155133246e-07i,1.10438151908589e-09-2.57541378529945e-07i,-6.27678602891e-09+2.31852572372746e-06i,6.19239371398931e-11+6.22341758759975e-07i,-1.8022889636776e-10-2.98652866253879e-09i,7.08912345064368e-10-1.25879056100159e-07i,-1.23680154372863e-08-1.63121015731076e-06i,-3.27399563024441e-09+1.33945118819831e-06i,-7.31519732416988e-10+1.3837557146099e-06i,1.76564347220907e-09+6.89287139932401e-07i,1.71598516203582e-08+1.15543350170875e-06i,6.64006282031805e-08-3.45035743007706e-06i,2.63921452821081e-09+1.03979586927964e-08i,2.00833576961182e-09-4.38011885904135e-08i,1.84042973164611e-09+1.72645453908511e-07i,-3.74326180193105e-08-1.02163719243565e-06i,4.96821973446123e-09+2.64978244885592e-07i,5.20505629328574e-06-1.53964116664094e-05i,1.76944825799181e-07-3.35802620072192e-06i,-8.98573023022669e-09-3.29313022140668e-07i,6.84570172447534e-09+3.42137626760593e-07i,1.21720880746883e-08-5.67802845450008e-07i,5.54833634174679e-09-3.54720004045932e-07i,8.58634155845691e-09+4.27154078817934e-07i,6.67824360215897e-09-1.34487652984157e-06i,1.19954423179427e-08-1.44491262989737e-06i,-5.05831444756624e-10-5.91590216597006e-07i,-3.72590239605076e-09+8.13956707414759e-07i,9.97843370458516e-10+3.38688980244999e-07i,3.55029779492703e-09+5.89699912081257e-07i,3.92178383892773e-10-6.39415862301128e-08i,-1.13647230898071e-09-1.50215467482519e-07i,-7.36411502686039e-11-1.08364832547431e-07i,5.17931980936822e-09-1.31798485837666e-07i,-9.71974450056008e-10-1.92355814928691e-07i,-1.43347565908315e-06+8.80973792262622e-06i,2.81571680904915e-08-1.53696804801296e-06i
-124.763877389318,60.7002461682283,1.28851673032269,-2.11747891424739e-12-2.70184744007858e-07i,-8.85360330081542e-11-3.77227627806594e-07i,4.80974566894179e-11-4.08556011624729e-07i,2.67747767098213e-11-3.14147252229555e-07i,-4.87825215403563e-09+2.50265758552824e-06i,-7.55463871800669e-11+5.26390694295188e-07i,5.55202001655049e-09-3.4128770140264e-06i,5.89547432928817e-10-2.9377319572298e-07i,1.00630863750016e-09-3.0738823615572e-07i,-6.48309525084904e-09+2.49401477092348e-06i,1.95179210567608e-10+6.12274152346501e-07i,-7.90809891516717e-10-1.26581396009022e-07i,5.11686264634643e-10-9.38299693016691e-08i,-9.18043642472644e-09-1.21104463304922e-06i,-2.4370029748198e-09+1.02596056342957e-06i,-2.61459407580269e-10+7.42979140746716e-07i,-1.53930292995366e-10+3.25132843756437e-07i,5.85017521770465e-09+2.55484229113377e-07i,1.65582967541649e-08-1.04767494633784e-06i,2.32237740820853e-09+1.00151040035143e-07i,1.96825130433765e-09+6.37254327418266e-08i,2.18915257913656e-09+2.19549110430873e-07i,3.21302480978355e-08+8.82444488618421e-07i,3.23018248261478e-09+2.87650622130578e-07i,6.33628027270369e-06-1.86140782199125e-05i,1.87918816407868e-07-3.56559789143925e-06i,-3.99870037635838e-09+5.13470974348681e-08i,1.11058674351959e-08-1.02269351078009e-06i,1.26851440305968e-08-1.45388405778331e-06i,3.24048220759537e-09-3.2967867797671e-07i,-1.37564009368052e-09-3.7488850851231e-07i,-2.56408091177657e-09+2.10145966511373e-07i,7.9356408321688e-09-1.01446134520784e-06i,-1.20691760821511e-09-7.23627620248019e-07i,-3.86890487263819e-09+5.42038932846659e-07i,-1.18424748048921e-09-2.5866969184921e-07i,-3.90677743891614e-08+4.08440092000483e-06i,2.82825696292342e-09+2.27009514590721e-07i,-1.5196120939537e-09-1.34904271995219e-07i,6.37360603578765e-10+2.1726502727625e-08i,6.04738386088748e-09-4.12904479538099e-08i,-1.2115362698553e-09-1.35178162750544e-07i,-1.78679413741703e-06+1.1803368093829e-05i,3.61334600146825e-08-1.80263518857502e-06i
