x,y,z,f_65_08,f_105_94,f_189_79,f_198_4,f_270_7,f_293_51,f_334_24,f_363_7,f_452_86,f_472_73,f_477_61,f_530_77,f_573_61,f_646_62,f_670_04,f_680_38,f_713_89,f_773_66,f_793_9,f_923_48,f_932_34,f_936_5,f_990_08,f_1016_7,f_1063_9,f_1120_1,f_1144_5,f_1201_7,f_1240_6,f_1250_5,f_1310_8,f_1361_9,f_1392_8,f_1424,f_1454_7,f_1504_4,f_1512_4,f_1584_8,f_1650,f_1660_3,f_1674_4,f_1722_3,f_1790_4,f_1837_3,f_1868_1,f_1879_7,f_1919_1,f_1974_3,f_1980
-169.477357010901,78.6643680556766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-169.477357010901,92.9669852483267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-169.477357010901,107.269602440977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-107.269655448774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-92.9670382561243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-78.6644210634742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-64.3618038708241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-50.059186678174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-163.822652662257,-35.756569485524,0.0174251748630354,2.43920595133747e-12-1.49011249439954e-07i,-1.53274126210789e-09-4.77375551473181e-06i,2.91224354251589e-10+4.37629374712952e-07i,6.1600475972903e-11-2.84981870690227e-07i,-9.44814207155067e-09+3.2590891767062e-06i,-4.24348226520855e-10+6.04111434437043e-07i,-1.2211841313701e-09+1.28495562769524e-06i,9.36804637898413e-11+3.14080219158883e-07i,-1.4565627448578e-09+1.32471888555742e-06i,2.05129166805251e-09-2.12096629494716e-07i,1.72883178226892e-09-3.08377785747883e-09i,-6.97563054096039e-09+1.89912368422271e-07i,-4.78345490759435e-10+1.7289493401294e-07i,-3.16797636390511e-10+7.723908873293e-07i,1.253892173975e-09+7.29649705371513e-07i,1.80493621618177e-09+8.77294005770837e-07i,4.39561297705825e-09-2.84650766906443e-06i,9.76394193219912e-09+1.050534305042e-06i,2.51055991313186e-08-3.86742019863929e-06i,4.02144905846187e-09-1.98692029649374e-06i,-2.15750822440416e-09-1.15513771060541e-06i,-2.61136461362074e-09-1.03610699127526e-06i,-4.67508086344418e-07-1.16414136033646e-05i,9.07798358016595e-11-1.20466369405616e-07i,-6.24309971781775e-10+7.86383332027232e-07i,-2.05103636467876e-10-2.78861304462618e-07i,-1.70528333112784e-09-5.41771974759488e-07i,-5.03844156132218e-09+1.42804877941088e-06i,-6.99853411207172e-10+9.25564687117573e-07i,3.72651653700428e-09+4.57558385605257e-07i,3.79200612946766e-12+2.4860978875537e-07i,-3.02586055965753e-08-1.47608277878264e-06i,2.78890326832079e-09+8.298183003663e-07i,3.14403886880261e-09+7.9134372685011e-07i,2.00465120936466e-08+3.59975578833087e-06i,-5.5945691548326e-09-2.62735784220874e-07i,-1.89439400163033e-09-3.26205692252364e-07i,5.62859493504753e-09-8.52415482876792e-07i,-2.85512941751834e-09-8.9215779032615e-07i,-1.22392907678103e-08-9.96577956333713e-07i,-2.31143502192227e-08-3.48659928129921e-06i,-3.15996662013255e-09+1.08399510521066e-06i,1.16069728712547e-09+8.48799841333508e-07i,2.35225530778648e-08+2.44191826052586e-06i,2.36253900038986e-08-1.98952960639924e-06i,4.79207678701134e-09-8.22445505635965e-07i,3.93549161466535e-09-3.17664239984363e-07i,5.12742881378106e-06-1.46265223300973e-05i,1.54916105326355e-08-1.21468296732042e-06i
-163.822652662257,-21.4539522928739,0.00486612094235456,2.90833249647691e-12-1.31299156226858e-07i,-1.78645450982559e-09-5.53885275566899e-06i,3.52958696698266e-10+6.26392475526251e-07i,6.77772967099091e-11-2.72085905882151e-07i,-9.02288003490699e-09+3.08882508115726e-06i,-2.66000977753679e-10+4.01659145615419e-07i,-4.55561189535647e-09+3.88267148166796e-06i,-1.99687847006527e-10+6.78898954888675e-07i,-5.58361405169448e-10+1.87656422314204e-06i,5.38148646466324e-09-1.12022852448803e-06i,3.14555765107893e-09-5.35478691366605e-07i,-5.36055089288187e-09+1.56393788660741e-07i,1.34296901424125e-11+2.47649425332334e-07i,1.83769968379089e-09-3.80375712482104e-07i,8.00944419959996e-10+2.7148235586441e-07i,1.25394032273384e-09+4.95779190437478e-07i,4.05180271987106e-09-3.51052097020734e-06i,-2.78958675758138e-10-4.0525578108107e-07i,-2.77283833022671e-09+7.78374597559417e-08i,2.98757689236858e-08-2.06169276884117e-06i,7.59433596184592e-10-7.64448884523604e-07i,2.3959426667761e-11-6.40734773691513e-07i,3.18820250275277e-08+3.55602576304029e-07i,-1.85591316853747e-09-5.863979278543e-07i,-5.8621822751441e-10+1.0116418330634e-06i,9.08665649318205e-11-1.59885474604884e-07i,-1.06497946393033e-09-3.15713155893373e-07i,-1.60633090450969e-09+4.04952279757732e-07i,-2.04273509155224e-10+1.05533402151318e-06i,6.78079790988212e-09+3.39577100015495e-07i,1.7290539557836e-09+2.09230357671781e-07i,1.30213567876814e-08+6.87960140169294e-07i,-4.77879373611504e-10-2.36484451657792e-07i,-8.94649736650839e-09-1.6292041934024e-06i,1.05179674405606e-08+2.35781244289289e-06i,-1.63497058532217e-09-1.26824354908765e-07i,-6.77149271970894e-10-1.27410425457493e-07i,-1.3175263820967e-08+9.05416375432291e-07i,-2.30512583288899e-09-3.96651546496338e-07i,-8.39392137681051e-09-4.86929213689974e-07i,-1.48577709912063e-08-1.99359634479827e-06i,-2.51489158071972e-09+8.43269805330483e-07i,7.24240831566959e-10+7.14039954204022e-07i,1.99165942546637e-08+1.99570705176172e-06i,1.95392878731176e-08-1.2917143001464e-06i,7.08182570354514e-09-7.57849737931832e-07i,1.16808943689199e-09-1.5193035157896e-08i,1.04412981204498e-05-2.91793532894301e-05i,3.10273402303499e-08-1.94780449104164e-06i
