x,y,z,f_69_19,f_115,f_202_98,f_209_59,f_283_74,f_315_71,f_356_95,f_389_31,f_489_57,f_508_46,f_516_68,f_566_83,f_617_02,f_685_53,f_690_48,f_754_55,f_769_56,f_832_57,f_849_84,f_952_34,f_966_71,f_999_72,f_1062_3,f_1109_6,f_1154_1,f_1159_2,f_1241_3,f_1253_3,f_1297_5,f_1301_8,f_1416_1,f_1425_3,f_1524_1,f_1528_5,f_1563_9,f_1577_4,f_1587_2,f_1684_5,f_1714_9,f_1737_9,f_1791_1,f_1884_4,f_1912_7,f_1940_9,f_1965_9,f_1995_9
-168.786288061516,33.8658777729677,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.786288061516,47.3990667568539,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.786288061516,60.9322557407401,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.786288061516,74.4654447246263,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.786288061516,87.9986337085124,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-168.786288061516,101.531822692399,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-101.466012065894,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-87.9328230820078,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-74.3996340981217,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-60.8664451142355,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-47.3332561303493,NaN,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi,NaN+NaNi
-163.129228812602,-33.8000671464631,0.0198498298205186,2.86347521224823e-12+-1.70023928496697e-07i,-1.60437137436398e-09+-4.69237740091025e-06i,2.94177064638443e-10+3.85740354439045e-07i,7.85099786456186e-11+-2.39644921063742e-07i,-9.47591330467035e-09+3.29415174580047e-06i,-1.30972597332832e-10+4.03699950782286e-07i,-2.98086583222991e-09+1.9431134186398e-06i,1.02657124899768e-10+3.83125269348972e-07i,-2.16919183431818e-09+4.90430122214013e-07i,2.23554431676121e-09+1.18907353041834e-07i,1.16873232260631e-09+2.58547406278811e-07i,-3.0532964420479e-09+-8.95623443440326e-07i,-4.44979410017965e-10+-1.03154883077721e-08i,-1.3790454789429e-09+7.55477705188526e-07i,-1.17895001306239e-10+6.11560775639342e-07i,4.88330187925392e-09+1.67905525109634e-06i,7.58213441402577e-10+-2.35528749934432e-06i,1.66989601402826e-08+1.427699011972e-06i,6.25169027352926e-08+-4.93537875340945e-06i,-3.64340017345456e-10+-3.23799699364125e-07i,3.41027994411798e-10+-1.99619194315263e-07i,-9.27897536488421e-10+-9.83789451947513e-07i,-4.05688437795669e-08+-2.47314116773889e-06i,-2.16952401237276e-09+-6.18831196513578e-07i,-1.5309260360167e-07+5.3610433996906e-06i,-6.59750453590685e-08+1.38794830539511e-07i,-9.91298883802089e-06+4.77366631149953e-05i,-6.71412757210251e-09+1.49239279365199e-06i,-2.11456317694698e-08+2.01926592163653e-06i,-1.52209062171317e-09+1.01352687788885e-06i,-8.7054674573395e-09+-3.86332611410904e-07i,-6.91028803279286e-08+3.4350288187174e-06i,-3.97078484019516e-09+2.33924107579496e-06i,-5.08551803669451e-10+1.87890190786817e-06i,1.35109141862258e-08+2.74925372658338e-06i,1.14843307321023e-07+7.90573828817124e-06i,1.69747583432544e-08+-7.41271525212732e-06i,-3.02193711755993e-09+-2.33139190255466e-07i,-1.33988468250859e-09+-1.5907611632474e-07i,-1.76138802053293e-09+-1.49252519918959e-07i,-6.61838657843981e-09+-5.15082385000819e-07i,6.20301924804529e-09+6.86340872994686e-07i,1.49886916977991e-08+-6.28339461220573e-07i,4.29992468136314e-10+-2.78628007022577e-08i,-2.57662147430871e-09+-7.39805988187167e-08i,1.63762802051254e-09+3.14866580228491e-07i
-163.129228812602,-20.266878162577,0.00376585988430405,3.36846210664856e-12+-1.55100285168711e-07i,-1.86273038769379e-09+-5.41948157075078e-06i,3.63522475529498e-10+5.93308590519555e-07i,8.37005117587658e-11+-2.06115944704132e-07i,-8.42082119195195e-09+2.93867158153432e-06i,8.62966533518321e-11+1.33434975735757e-07i,-8.66383082915395e-09+4.93176790029108e-06i,-2.39267017961935e-10+7.53278228830259e-07i,-1.87740214615418e-09+1.33208376063964e-06i,9.24893669810154e-09+-1.43596541521019e-06i,2.82696474239249e-09+-3.70538021565082e-07i,-2.1951404202122e-09+-7.96745456157807e-07i,1.11061340144841e-10+7.93982148656778e-08i,1.46424375450096e-09+-2.31418666447354e-07i,7.59585548267229e-10+-9.43453780168757e-08i,4.51837678127613e-09+1.74031081337472e-06i,5.69457681735422e-10+-3.49295375087656e-06i,-2.27945032847268e-10+-3.9276700274029e-07i,8.91681531489191e-10+-3.77686304651557e-07i,1.28047746447431e-09+2.4993663235583e-07i,1.86332392254872e-09+1.25305727977765e-07i,9.17322832223639e-10+-6.59628671609869e-07i,1.09012529896777e-08+1.86650819252473e-07i,-2.66854432219572e-09+-5.63822919046431e-07i,-1.28587291166673e-07+4.55673906120108e-06i,-6.49313561703389e-08+-1.01362560213556e-07i,-2.13543981467108e-06+1.06153943418467e-05i,2.65905613702644e-11+7.49231725910464e-08i,-2.96863150865421e-08+2.57554146870926e-06i,-1.15692438409053e-09+1.11558506375587e-06i,6.63827259636937e-09+4.72870689122845e-07i,3.33385332500276e-08+-1.48906005811949e-06i,-3.54355109218616e-09+1.19929948862675e-06i,-1.23432582335834e-09+8.55365213611459e-07i,-1.32113905636295e-09+2.14160424194838e-07i,4.12528413699236e-08+5.87716048567385e-06i,-1.80346475674313e-08+-4.12314211806935e-06i,6.57291438405753e-10+1.26800741566553e-07i,-1.94888796236003e-09+5.74393704502631e-08i,-1.75730615011547e-09+6.5203120195576e-08i,-4.44767650894258e-09+-1.62765706836461e-07i,8.49901880555952e-09+8.52112549804933e-07i,1.96916002314757e-08+-9.34121151154718e-07i,2.02851966232242e-09+-3.22411894404271e-08i,-9.96638880015112e-09+1.96684904168014e-07i,-1.96797098476397e-09+9.64628564582006e-08i
-163.129228812602,-6.73368917869078,-0.0214485274091281,3.6536712256928e-12+-1.4799571150952e-07i,-1.99719880702125e-09+-5.79950137863951e-06i,4.03901546816704e-10+7.07903636158132e-07i,8.58941564408946e-11+-1.91235711334895e-07i,-8.02015744742853e-09+2.79804354814687e-06i,1.9567344264532e-10+-7.77585779935895e-09i,-1.19313041960522e-08+6.64460213067936e-06i,-4.5120544036426e-10+9.72082624600713e-07i,-1.69884965772107e-09+1.86491295653066e-06i,1.36515943103652e-08+-2.42056135459821e-06i,3.91266613653125e-09+-7.83136533027863e-07i,-1.61841525370721e-09+-7.27690010583713e-07i,5.09172112064766e-10+1.43674741163693e-07i,3.47810227760126e-09+-9.40868084396656e-07i,1.36997173807234e-09+-6.05771977880355e-07i,4.21615445398944e-09+1.73066334861635e-06i,3.94419736350549e-10+-4.21650899188673e-06i,-1.30990918655936e-08+-1.7460375952027e-06i,-4.85625204241393e-08+3.29138271521116e-06i,2.50080225264282e-09+6.49864182350393e-07i,2.98011087950515e-09+3.73545901087354e-07i,2.44160344866578e-09+-3.43273663525983e-07i,6.15950264029428e-08+2.82316139072147e-06i,-2.92158378738044e-09+-4.77667284986531e-07i,-1.00992583588727e-07+3.71295143733189e-06i,-3.17289559412791e-08+5.80662318785747e-07i,6.71485028012395e-06+-3.17682979782856e-05i,6.44468573322127e-09+-1.41826189561114e-06i,-1.61739656888439e-08+1.80284306689628e-06i,6.38504048218888e-11+8.8758867042506e-07i,1.50834904911659e-08+8.07365119657418e-07i,9.45536690360964e-08+-4.58392154695856e-06i,-4.01167244881831e-09+4.65990039289842e-08i,-2.73178123979126e-09+-2.4273028933616e-07i,-1.80553542416601e-08+-2.78059133852223e-06i,-8.3075584261194e-08+-1.14202772663853e-06i,-5.0815168503364e-08+3.5452143257463e-06i,6.31988455184631e-09+7.79053897940152e-07i,-2.32005735878019e-09+5.20445974431496e-07i,-1.1312154109216e-09+5.54956813766042e-07i,1.01672167973394e-09+7.58037763670129e-07i,1.93966903755007e-08+2.27186327741883e-06i,9.44333922899068e-08+-4.66051797791882e-06i,8.34870183299529e-09+-9.03699421086967e-07i,-1.10894238624026e-08+2.40088888563237e-08i,-5.74494634713928e-09+-7.35010304230194e-07i
