x,y,f_{1} = 112.5,f_{2} = 170,f_{3} = 234,f_{4} = 286.5,f_{5} = 382,f_{6} = 502,f_{7} = 686,f_{8} = 737.5,f_{9} = 841,f_{10} = 994,f_{11} = 1206,f_{12} = 1382.5
0.023,0.141814857142857,0.0143817897284085+0i,0.00527942196981129+0.0157013819253618i,0.016756948123383+0i,0.0190533195878409+0.0404282052025877i,0.0443410459187682+0.112472859815206i,-0.0170684799228734-0.019428802611402i,0.0170485901838526-0.00473244667438607i,0.152278195026352-0.0514372008786537i,0.0424323932119032-0.0567013301513795i,0.157495888667451-0.675001182443348i,0.0862611401231238+0.00631767891913401i,0.12907210842001+0.0788354498519372i
0.023,0.200672,0.00400163366104984+0i,0.00131498833830937+0.00488601623687894i,0.00550935491515244+0i,0.0131392312554505+0.0174845093580506i,0.0227014653872164+0.0532558115348642i,-0.00281384907389575+0.00288736289261205i,0.000648401342163117-0.00535131301536065i,0.0174032468891719-0.0159927637567475i,0.00845214131230252-0.0144541176784397i,0.0103692985564483-0.176613300227553i,0.0536101045536825-0.0290172048074897i,0.0472370626291117+0.0115384766442627i
0.074,-0.211328,0.00267898856783224+0.0025210326378893i,0.00106904123329693+0.00376465230150876i,0.00399898953713418+0i,0.00127054718263453+0.00791020201783311i,0.0393350721919779+0.07379447963047i,-0.00128786731663109-0.0244655418647348i,-0.0186237874886034-0.0148989275496889i,-0.0446686633212333-0.0180807838129307i,-0.00350685666077559-0.0107222017325061i,0.00570728701242957-0.102116937569366i,0.0312808752271012-0.0769158058110126i,0.026876339627106-0.0498496866154902i
0.074,-0.152470857142857,0.00584516414145725+0.00596185990525279i,0.00204436948687548+0.00712176052307953i,0.00857674347123219+0i,0.00575760709433497+0.0199020241783529i,0.0143910851970135+0.059409320952844i,-0.00536915103989467-0.0609141768573044i,-0.0472307389173699-0.0566334106471396i,-0.084295952355671-0.0539322602619107i,0.00528751806365742-0.0343363505982621i,0.0596135459217552-0.138304243343003i,0.12628015163169-0.00522819039331237i,0.166067981518693-0.0811801703961376i
0.074,-0.0936137142857143,0.00604554284964541+0.00648197317578854i,0.00734572143912486+0i,0.00752327934851595+0i,0.0127870517865352+0.0160721090774527i,-0.154007777117302-0.228577904046899i,-0.0418244739574697+0.00632499329051125i,-0.0552948726149242-0.0614508686370794i,-0.0857913637980041-0.052593195419669i,0.00879989157970419-0.0290415288696636i,0.0302528096713438-0.054863868286856i,0.062845459237003-0.00229048880712276i,0.100774170956619-0.00477506175424568i
0.074,-0.0347565714285714,0.00396618613956537+0.00447590390828308i,0.00444206614236314+0i,0.00316084724522164+0i,-0.0120371351335914+0.00070244764039155i,-0.201296495536508-0.305796626557099i,-0.0306156544317766-0.00145912990399727i,-0.00760151406653129-0.0275731131593345i,-0.00524196063611747-0.0302364439088491i,0.0103249645803351-0.0205228903266043i,-0.104277245565024+0.0449057613246695i,0.0103028225777798+0.0228025806730005i,-0.0295088860884863+0.0957938502110384i
0.074,0.0241005714285714,0.00263761172963112+0.00518893514714668i,0.00402598350145711+0i,0.00276709914522155+0i,-0.0188403462865028-0.00534609239486169i,-0.0975286482585803-0.130722644183647i,-0.0187766042907462-0.0288019523218689i,0.01914094761638-0.0202318993180806i,0.0376890755984959-0.0287123650043345i,0.0203805767791697-0.0218177568677249i,0.00294499477648935-0.0846935419306239i,0.0737042118331496-0.00472585545146922i,-0.0255164331935236+0.0103603098584929i
0.074,0.0829577142857143,0.00352358533935289+0.0103685710597638i,0.0025471267845642+0.00696385327683805i,0.0067075986185457+0i,-0.0287044683560955+0.00633601425747922i,0.00472411469532637+0.0610362086895818i,-0.0144326786099294-0.0346640476366681i,0.0156356383941862-0.0143842058111785i,0.064140332863187-0.0385112065669075i,0.024768091920099-0.0361136384500301i,0.0256857968971565-0.265984257034283i,0.0604112688132601-0.0250226387346011i,0.0248882521786191-0.0320630696349917i
0.074,0.141814857142857,0.00289016691905185+0.00893255203923992i,0.00198845014949784+0.00641251301632146i,0.00709852151278059+0i,-0.00720370518872186+0.0105953152480553i,0.0762697108923694+0.123374703290847i,-0.00202419569709065-0.0128618197431097i,-0.0173569401007508+0.00449982844607244i,0.0771417200915741-0.0156560552435072i,0.0124758095589394-0.0220601268247923i,-0.00123717568023091-0.238160173293086i,0.0408642680857884-0.0147205279526329i,0.0387128235043474-0.00569136621595836i
0.074,0.200672,0.00190496072641937+0i,0.000512050701027412+0.00198557410474449i,0.00233288066109095+0i,0.00131368068098368+0.00504785406842304i,0.00953793027403187+0.0278574614036528i,-0.00106234501259336-0.00207766064052361i,-0.00396035613899784-0.00245345609207653i,0.0236588523347992-0.0074241531386418i,0.0102321856245731+0i,-0.0131864351071612-0.0988165888062557i,0.0262188658193521-0.0252093767022656i,0.0222460271947892-0.0047927746267034i
0.126,-0.211328,0.000719872751926043+0.000607907261078156i,0.000277625900251409+0.000904109131887113i,-2.27769847611675e-06+0.00114744507380938i,0.000115447914458301+0.00216118817755461i,0.0103598716961855+0.0117295557164265i,-0.00147629155494518-0.00741424017659585i,-0.00771674713467785-0.00422384212565927i,-0.0147961241755924-0.00502005861267145i,-0.00253235971712851-0.00549949966946403i,-0.01317819608978-0.0212159345237475i,0.00205762650408205-0.0225504011317963i,0.000769679737964008-0.026341506909083i
