x,y,f_{1} = 112.5,f_{2} = 170,f_{3} = 234,f_{4} = 286.5,f_{5} = 382,f_{6} = 502,f_{7} = 686,f_{8} = 737.5,f_{9} = 841,f_{10} = 994,f_{11} = 1206,f_{12} = 1382.5
0.126,-0.152470857142857,0.00133024382640076+0.00132269986389271i,0.000638386631925189+0.00167113199972289i,0.00244554548675597+0i,0.00154572386598863+0.00542278617831419i,0.00521766833960226+0.0140520990616552i,-0.00217393579278668-0.0106700972598995i,-0.0120796764324939-0.0115762479405629i,-0.0161940077966142-0.0105664677009339i,0.000911831338925869-0.0109941189202945i,-0.00575833862481599-0.0247655281594685i,0.0237351550103318-0.0150750229783244i,0.0361201839520188-0.0363661476009039i
0.126,-0.0936137142857143,0.00127138454495961+0.00148750368947503i,0.000480769253672805+0.00171017045795176i,-0.000255597204111123+0.00194241665111298i,0.00201396573128203+0.00379357679945757i,-0.0229717939388322-0.0310824295075802i,-0.00649294264698966-0.000846986653307909i,-0.0125380352778168-0.0119060689145605i,-0.0167634867508745-0.0114362257020043i,0.00161255450655585-0.010239052348356i,0.00375503426790301-0.0177020816126704i,0.0219601856057365-0.0127889025764071i,0.0330271059531962-0.0217721164845116i
0.126,-0.0347565714285714,0.00129520220433942+0i,0.000242181986574151+0.0011328209025286i,-0.000281842871576262+0.00105444638544092i,-0.00193196823015071+0.00107891394738435i,-0.0313265439944841-0.0433654472331487i,-0.00551405492875202-0.00184180515214081i,-0.00257603666809945-0.00811122199849197i,0.00253600235755706-0.0108196177582895i,0.00190976386058104-0.0091273753831706i,-0.00923184688001988-0.0305174453029293i,0.0244462998920475-0.00699346377510559i,0.00701519973602744+0.0146596866711275i
0.126,0.0241005714285714,0.000571150593893974+0.00103121524869109i,0.000261512760960392+0.00104432303969413i,-0.000188863880965435+0.000877128612378562i,-0.00371992932993658-0.00021733119324696i,-0.0191183493526192-0.0220954909716464i,-0.0048728058048022-0.00734529265004895i,0.00228801508331667-0.00580455799381104i,0.0127732508676978-0.0127453769481261i,0.00527509488205575-0.00916833569148288i,-0.0128857501443179-0.0471730711727811i,0.0236741834935269-0.0197388389487363i,0.00120988718206568+0.00739534348131392i
0.126,0.0829577142857143,0.000564985674570802+0.00165835215768116i,0.000357057231870017+0.00133138707989985i,-0.000137972085046095+0.00130576621775927i,-0.00409883550716805+0.00153280145764157i,-0.00271114527443071+0.00338838880194314i,-0.00395731902754243-0.00762850012354269i,0.00125005730701184-0.0041608412771477i,0.0160743449990789-0.0130107287093529i,0.00493210112131889-0.0112557416383037i,-0.0320687152258875-0.0662886055124426i,0.0168922011722789-0.0226504094689971i,0.00223690067490477-0.0108856012528963i
0.126,0.141814857142857,0.000575200988666115+0.00137870440216359i,0.000359257323859974+0.00115890917209834i,-6.78182587149146e-05+0.00133003079161722i,-0.00148132860075477+0.00185835576698459i,0.00744870562533106+0.0140715554276888i,-0.0016224161780101-0.00499984240595357i,-0.00216460975170192-0.00259800173155221i,0.0170457685166083-0.0114897067730648i,0.00248347313893068-0.00772824076694937i,-0.0330818589149604-0.0672759058101348i,0.00904201587133143-0.0159762962668005i,0.005350234843531-0.011975961007043i
0.126,0.200672,0.000397759757162446+0i,8.43035204819728e-05+0.000708605542241964i,0.000689924730997916+0i,-0.00029542147676588+0.00111804207230091i,0.000367983059183996+0.00557657001662996i,-0.000610967877382201-0.00208347945353101i,-0.00203642955459179-0.00173500608168341i,0.00933662608443482-0.0071810259203414i,0.00457381644997309+0i,-0.0235716382022965-0.0345233135361548i,0.00255518954415677-0.0160017199485195i,0.00292432507050609-0.00591701895601893i
0.176,-0.211328,0.000277497054187216+0.000203381859672275i,6.76497088282684e-05+0.000323487330294746i,-4.31388993882659e-05+0.000419424305723913i,-5.47393212150618e-06+0.000578059932794361i,0.00221896806096238+0.00101900224835053i,-0.00137419527885742-0.00204329638288384i,-0.00380541047478042-0.00105137011382244i,-0.00712681739874821-0.00140913417142364i,-0.0019540298816413-0.00233408924449344i,-0.0114750138285498-0.00163365983146162i,-0.00473846991564753-0.00604155489990292i,-0.00701228939463365-0.0113406802885778i
0.176,-0.152470857142857,0.000308891665077152+0.000285738798439673i,8.95431726659169e-05+0.000438154122312583i,-6.10908990869647e-05+0.000572998787657915i,7.58633645718716e-05+0.000898920723127245i,-0.000731848989986951-0.00339197789147816i,-0.00154778645959335-0.00271247038533965i,-0.00524717656986695-0.00375281258462505i,-0.00754835956850401-0.00350889071352143i,-0.000291121467375842-0.00423751638769414i,-0.0121477119664175-0.00363246742585392i,0.00304151354759291-0.0106049588290273i,0.00394303520395721-0.0168124506099446i
0.176,-0.0936137142857143,0.00025857393577314+0.000515627147625769i,4.62801837405702e-05+0.000532538925556344i,-0.000104931667751138+0.000590743266949891i,0.000251715351355251+0.000896174068965684i,-0.00897317329326175-0.0113637232521072i,-0.00281250327446014-0.000988573875757095i,-0.00457308691911877-0.00362367842673628i,-0.0074587504922033-0.0045957206292346i,-0.000644123688429398-0.00440965334490645i,-0.000973880195610945-0.00600626905961399i,0.00572687867011211-0.0111273466022371i,0.00569741526005922-0.0144236634347877i
0.176,-0.0347565714285714,0.00022731632869179+0.000339419688507846i,3.1378597519642e-05+0.000400243861257122i,-0.000137535559760358+0.000411022264770688i,-0.000692048488543571+0.00030996958237221i,-0.00733116200260881-0.0104549800203336i,-0.00184251429859498-0.00261276612923997i,-0.00166006112018506-0.00359224456802126i,0.00250339937844269-0.00812611604438288i,0.000409157208004565-0.00355716522717942i,-0.00777399993411704-0.0199106718535932i,0.0119724295516014-0.0120234965680335i,0.00589616514054368+0.00028871971133091i
0.176,0.0241005714285714,0.000181435488690958+0.000325778819435306i,7.46955709406202e-05+0.000390884559154356i,-0.000109111364377999+0.000402682456794959i,-0.00115900406911092+4.08401074953762e-05i,-0.0060878587689151-0.00590927470671546i,-0.00203297995259632-0.00390099573167655i,-4.53528027470377e-05-0.00238987974952162i,0.00545199512103444-0.00821258239701456i,0.00067297770808249-0.00491301880043115i,-0.0191684873160418-0.0235143037767502i,0.00469164038824446-0.0200483045565779i,0.00209811902327596-0.000540953183410448i
0.176,0.0829577142857143,0.000134709041086361+0.000404343921387333i,7.6506963919907e-05+0.000472640989572903i,-8.2956410673182e-05+0.000466309477174302i,-0.00109758996303982+0.000418585177307373i,-0.00345186729121405-0.000804210046817441i,-0.00177209632048668-0.00350457146544486i,-0.000674992757799388-0.00192813799948404i,0.0044742234874681-0.00707460059566441i,0.000504380097657018-0.00521769417214223i,-0.030037177817389-0.0191133229617776i,-0.00815600210238926-0.0141920168672455i,-0.00360613411424976-0.00421651008295215i
0.176,0.141814857142857,0.000178963363293929+0.000325574598289347i,9.80495702529835e-05+0.000389907482080059i,-5.81143958473399e-05+0.000453471887347416i,-0.000247899879374138+0.000742084835956026i,-0.000329963088835326+0.00373922949812407i,-0.00102733938221874-0.00296240301865178i,-0.00158686224176707-0.00158855537762437i,0.00523168845763379-0.00776088287786281i,-0.000202642125737924-0.00307112815083559i,-0.0264295541601123-0.0202971561085135i,-0.00238373319346415-0.00889190667692308i,-0.00301066581318212-0.00558236050663861i
0.176,0.200672,1.31429976525753e-05+0.000259998189732443i,3.24343619507908e-05+0.000318613066441955i,-8.42390227007286e-05+0.000322718524858495i,-6.04923622837392e-05+0.000509463938220949i,-0.00273324656469779+0.00163303265032445i,-0.000514002721829022-0.00146421702392591i,-0.00137188692964433-0.00122092882809511i,0.00301245293043608-0.00544956830648234i,0.00183568481864914+0i,-0.0171484297700204-0.00869859319433126i,-0.00232874046602413-0.005083412631891i,-0.00281298681477528-0.00357050817541074i
