x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
-0.126,0.0829577142857143,-0.0136841868783674+0.00281383600935868i,-0.0142996221214342+0.00646581918389878i,-0.0128824801442371+0.0102928134535019i,-0.010073560144207+0.0132098643166551i,-0.00648889990393736+0.0149436579802125i,-0.000346457091434185+0.0176895631478143i,0.00707005268260402+0.0169135815269098i,0.0130245606594821+0.012493444557881i,0.0160448244134178+0.00608367491494424i,0.0158370836427667-0.000666727568552859i,0.0126998824421379-0.00623518784688495i
-0.126,0.0241005714285714,-0.00201240139586379-0.00124149485183295i,-0.00432956681347834-0.00190403855092088i,-0.00798609861294328-1.3696964556434e-05i,-0.0101408540107775+0.00514244313758591i,-0.00856625899972531+0.0116914046660846i,-0.0012716410257281+0.0180250359706966i,0.00976611004858614+0.0174945909448504i,0.0175027693592701+0.00977286363801641i,0.0187019891962309-0.000246695169366541i,0.0144799626594002-0.00806580728479103i,0.00807349983973103-0.0117512924845373i
-0.126,-0.0347565714285714,-0.000799554693814005-0.000742305105400615i,-0.00222511159208292-0.00126000534689617i,-0.00456103605891456-0.000232483853509323i,-0.00608015284333869+0.00286412889874076i,-0.00535264877836485+0.00695323434408159i,-0.0010758433850888+0.0111337129124165i,0.00579759628866412+0.0112126504392338i,0.0109458606991553+0.00668902382632675i,0.012157890449353+0.000413552426741222i,0.0098759095017286-0.00480951902037318i,0.00594988965070206-0.00760580158411039i
-0.126,-0.0936137142857143,-0.0205091209491424+0.00424546487024556i,-0.02140314971186+0.00974560455206377i,-0.0192314410779993+0.0155117812025166i,-0.0149480200059357+0.0199060132197717i,-0.00948139362552697+0.0225045726803303i,-0.000117593986594631+0.0265620020601958i,0.0111491183513108+0.0252760187298378i,0.0201835721004943+0.0184727527595041i,0.0247512766770561+0.00864731532164149i,0.0243886453372878-0.00170139696986545i,0.019534140414897-0.0102524588907526i
-0.126,-0.152470857142857,0.00300171296303585+0.00127608675558399i,0.00379745394137628+0.000833955511074546i,0.00423380456213913+5.91549439706279e-07i,0.00426448715227535-0.000917750010335295i,0.00395974885114665-0.00177713696136344i,0.00341853956676577-0.00320723450307907i,0.0020265450777791-0.00429911781983657i,0.000236283537391924-0.00457373958587698i,-0.0014592866094455-0.00404628292289698i,-0.00275086855469333-0.00287784419350523i,-0.00338686976774898-0.00129273300287148i
-0.126,-0.211328,0.000250521604701307+0.0020846687024134i,0.000788721481035848-0.0019884213291334i,-0.0033325862353806-0.00657713361409999i,-0.0116693220535984-0.00618758492816321i,-0.0182036846334962+0.00175021481370792i,-0.0172457951225602+0.0154883553178028i,-0.0049517557853373+0.0248031540914907i,0.00965644084680558+0.0221608208402551i,0.0171868751586708+0.0116760942209609i,0.0163192198546912+0.00142674116468327i,0.0114020633441974-0.00435505776534827i
-0.076,0.200672,-0.00104380278973369+0.00125797409007968i,-0.0006417755302875+0.00171293433581376i,5.99167920077972e-06+0.00194808292047914i,0.000708427039081676+0.00190580513236612i,0.00134879095606118+0.0016254376544287i,0.00241321177546118+0.00111794609310521i,0.00317353116784864+7.68245267426133e-05i,0.00330440626444156-0.00118034306390602i,0.00283646294927667-0.00226204319769569i,0.00198147672449482-0.00292619121118839i,0.00102167806837159-0.00306839410895303i
-0.076,0.141814857142857,-0.0031909174986809-0.000564265256884753i,-0.00480225764739966-0.00162259747955183i,-0.00789161775150176-0.000665273264896676i,-0.00990558298006668+0.00372292180572466i,-0.00808316728673576+0.00989609099683779i,-0.000579571913411176+0.0156640738718657i,0.0100729726603411+0.0148553797340517i,0.0167596127567134+0.00730540553265495i,0.0165392949802159-0.00166797522013924i,0.0116021440391939-0.00745664701766501i,0.00598800566205611-0.00900610589939903i
-0.076,0.0829577142857143,-0.00524715448220222-0.00172399046496394i,-0.00829626425659816-0.00250662260942629i,-0.0128005316477728+0.00014857530446894i,-0.014792692883137+0.00731558099447972i,-0.0111762404553052+0.0162297471073603i,0.000705245024009642+0.0242310750535551i,0.0169117694739509+0.022426480780397i,0.0271207506893021+0.0107822384564953i,0.0271565196570506-0.00321558416430808i,0.0197402683853921-0.0129890129302017i,0.0104811959741015-0.0163903725326123i
-0.076,0.0241005714285714,-0.00238564540325707-0.0011198204808422i,-0.00415262779664391-0.0011096782455939i,-0.00643266573396914+0.000976252694323485i,-0.00682812798682675+0.0053969424211452i,-0.0037749938044981+0.0102476008396334i,0.00405503277130178+0.0136618224251391i,0.0135987562139536+0.0106781098917974i,0.018681614627219+0.00210855805903137i,0.0172605743257279-0.00723777471417977i,0.0112675047736042-0.0135175568977013i,0.00412722900450509-0.0156095353449671i
