x,y,f_{1} = 112,f_{2} = 171.5,f_{3} = 286.5,f_{4} = 382,f_{5} = 502.5,f_{6} = 686,f_{7} = 737.5,f_{8} = 841.5,f_{9} = 994,f_{10} = 1206,f_{11} = 1382.5
-0.126,-0.0936137142857143,0.000704699742801726+0.00167798660079372i,0.000345374350616507+0.00134187099149824i,-0.00439311419752196+0.00164953587266129i,-0.002958648321263+0.00364007394345686i,-0.00412724802283539-0.00790069984966885i,0.00146773137811777-0.00426618132195347i,0.0170045101011047-0.012704335874349i,0.00489452352517663-0.0113067200654068i,-0.0326363737542034-0.0681317121456359i,0.017292740672461-0.0225420843494534i,0.00237640711158269-0.0111665784589816i
-0.126,-0.0347565714285714,0.00065043672169918+0.00102170318273312i,0.000260459945800194+0.00104941658865727i,-0.00396879001820013-0.000233354365332229i,-0.0204935292603381-0.0235186848364254i,-0.00469902244037737-0.00776167537069722i,0.002354084405876-0.00597453225013163i,0.0134988023754044-0.0125889397101881i,0.00528333537196657-0.00917020597470063i,-0.0153138354113793-0.0477496272327539i,0.0239351884857951-0.0198422027356426i,0.00105782768722872+0.00748552507629503i
-0.126,0.0241005714285714,0.00132852439492285+0i,0.00025983805228538+0.0011362956762175i,-0.00201399640669308+0.00116331421323718i,-0.0326061929432742-0.0449943601585068i,-0.00559669316372493-0.00190824677805637i,-0.00268029770574384-0.00818939378412947i,0.00253668328622477-0.0109859703543708i,0.00766059930299151+0i,-0.0092284910179851-0.031418544855944i,0.024576057799073-0.0074202706297818i,0.00683312810887645+0.0149373640300407i
-0.126,0.0829577142857143,0.0012706445904753+0.00147837275277971i,0.000479741688294339+0.00171629913588279i,0.00162651747730205+0.00419797285336863i,-0.0247001057145755-0.0334040594637009i,-0.00656042504204656-0.000845372703737158i,-0.0128098864950463-0.0122340872319843i,-0.0171434526063489-0.0117461086698066i,0.00161195252182141-0.0103102373275028i,0.00395285993131599-0.0178975937607779i,0.0220506686187884-0.0130309045566807i,0.0330207333772195-0.02292612383905i
-0.126,0.141814857142857,0.00138503012377981+0.0012569283585675i,0.000611165868915515+0.00168407360711349i,0.00239124274652591+0.00542508582615137i,0.00555869821930322+0.0152572697862955i,-0.00233128969678096-0.010878845887008i,-0.0128946019888914-0.0114890592663666i,-0.0166268646160412-0.0109350986623164i,0.000904794607566986-0.0112108783601918i,-0.00570029922273814-0.0252671276407354i,0.0241857932855044-0.0152131953583107i,0.0370606832403108-0.0369609588278062i
-0.126,0.200672,0.000783757630186013+0.000586710626931848i,0.000266520909994431+0.000901503075439253i,0.000445278330059363+0.00234252510495403i,0.0112404631579515+0.0126761339131467i,-0.00156855852170531-0.00775128405667265i,-0.00789574806850233-0.00435834755804291i,-0.0152938460347242-0.00519468656347356i,-0.00257643625441366-0.00556823870458301i,-0.0134573553842497-0.0218186876975748i,0.00207853213222151-0.0228903464952824i,0.000845459107334311-0.026807968207792i
-0.076,-0.211328,0.00178520331668163+0i,0.00200609591986198+0i,0.00113809366135091+0.00555119928294333i,0.010201796781383+0.0299066886295409i,-0.00110111774087832-0.00214650473731926i,-0.0040880397012809-0.00257228997654573i,0.0244007145896911-0.00778285126891654i,0.0102142021667953+0i,-0.0133889323981314-0.101794421977802i,0.0264985269622931-0.0254097672338605i,0.0225496306429701-0.0045353081689118i
-0.076,-0.152470857142857,0.00384712411709726+0.00887991071044119i,0.00644972901904701+0i,-0.00758840534532221+0.0106825692728015i,0.0656874453829116+0.136688708267563i,-0.00209448154458693-0.0131734783688646i,-0.0179127388373389+0.00472295318177707i,0.0788781297591241-0.016254498476217i,0.0125112279878688-0.0221344381684933i,-0.000790500737586986-0.243397740994606i,0.0412646878424114-0.0149347697226601i,0.0391542681457975-0.00582264373882422i
-0.076,-0.0936137142857143,0.00451940344008859+0.010469793554742i,0.00255421325668169+0.00693276154062366i,-0.0307069671507186+0.00657609299676244i,0.00535595685862201+0.0650849730128643i,-0.0150105206792343-0.0359265510534765i,0.0162621376712524-0.0150212757133167i,0.0670800491631156-0.0368772768267701i,0.024874639987363-0.0362259008164462i,0.0271582017555735-0.273049987340707i,0.0609394695502243-0.0251366011786516i,0.0241461196812679-0.0337929864557733i
-0.076,-0.0347565714285714,0.00276414780829662+0.00521570149722628i,0.00411037216185089+0i,-0.0190836382225376-0.00532256619578501i,-0.0987613980063636-0.132317718167905i,-0.0190210340629613-0.0293309544512597i,0.0195694184018232-0.0206853381145568i,0.0381277813677695-0.02927603050967i,0.0206812324043611-0.0221071436634214i,0.00365763583916878-0.0858391131383036i,0.0743117529306139-0.00279126005686109i,-0.025708565957083+0.0109470563765916i
