x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
-0.077,0.078,0.00158400590131671,0.00116084461638135,0.00309317175531666,0.0225739457832651,0.00937029786359964,0.00157778195617286,0.00400376044080661,0.000612905106697466,0.00597317490805104,0.00264685639847781,0.00633734286878852
-0.072,-0.102,0.00274205436989742,0.00128503046248743,0.00824501130911245,0.0466166909021071,0.0012619021578309,0.0021312280114608,0.00220509679834541,0.0010331992213623,0.00119051188904292,0.0100413535964997,0.00141726582787305
-0.051,-0.121,0.00252052885513997,0.00125185482424206,0.00326224730548823,0.0242123153302188,0.00157039986147951,0.00226421981132442,0.00699813494031905,0.00133348906569878,0.0107903046309687,0.00912718052245601,0.00137154418731953
-0.05,0.08,0.00135525089123034,0.000861748383277291,0.00177760153343594,0.00430038212374721,0.00389509444870525,0.00368167506416442,0.00757836680719712,0.000449034455456221,0.0162104776547775,0.00182008529669002,0.00799705060076598
-0.048,-0.08,0.00203014134637646,0.000858457136323354,0.00479149014175683,0.00818116272197839,0.00144455299677255,0.00159499165216368,0.00139795927883374,0.00117230038741647,0.009022772691876,0.00723440054052279,0.00374997799263983
-0.047,0.046,0.00121217814249391,0.000805117958973401,0.0018955207036087,0.0237491642602436,0.00341195174740928,0.00132654801641859,0.00388525078765662,0.00164186391778479,0.00601392690839106,0.00512495677058873,0.00430985383104152
-0.041,-0.041,0.00204750437259789,0.000854624614528794,0.00510115518197804,0.00484260112242654,0.000555172929961173,0.00275169220989367,0.00348733505484676,0.000774197375185553,0.00216556843156736,0.00951194362129767,0.00398934923247538
-0.04,0,0.00136637682497573,0.000680734768358567,0.00139165456090139,0.0181000051240065,0.00217192987840725,0.00179109004718853,0.00254385423470261,0.000885989668966761,0.00950183325902523,0.0106655729398682,0.00323567373690883
-0.028,0.026,0.00108203167051236,0.000242849645326185,0.00171427722726204,0.0405787261926539,0.00270681843839828,0.00059542698882487,0.000388454194404993,0.00068378138399337,0.0118419458521665,0.0024687185611268,0.00132928135372316
-0.026,-0.023,0.00127198178200402,0.000276550174586399,0.00195540820352229,0.0344025468236791,0.00310257309386844,0.00152690264686242,0.00270897123788117,0.000577716406247161,0.00798698563272178,0.00206067137542251,0.00225785618426775
