x,y,z
-117.317968503944,-183.227920532227,NaN
-117.317968503944,-180.342879648284,NaN
-117.317968503944,-177.457838764341,NaN
-117.317968503944,-174.572797880398,NaN
-117.317968503944,-171.687756996455,NaN
-117.317968503944,-168.802716112512,NaN
-117.317968503944,-165.917675228569,NaN
-117.317968503944,-163.032634344627,NaN
-117.317968503944,-160.147593460684,NaN
-117.317968503944,-157.262552576741,NaN
-117.317968503944,-154.377511692798,NaN
-117.317968503944,-151.492470808855,NaN
-117.317968503944,-148.607429924912,NaN
-117.317968503944,-145.722389040969,NaN
-117.317968503944,-142.837348157027,NaN
-117.317968503944,-139.952307273084,NaN
-117.317968503944,-137.067266389141,NaN
-117.317968503944,-134.182225505198,NaN
-117.317968503944,-131.297184621255,NaN
-117.317968503944,-128.412143737312,NaN
-117.317968503944,-125.52710285337,NaN
-117.317968503944,-122.642061969427,NaN
-117.317968503944,-119.757021085484,NaN
-117.317968503944,-116.871980201541,NaN
-117.317968503944,-113.986939317598,NaN
-117.317968503944,-111.101898433655,NaN
-117.317968503944,-108.216857549712,NaN
-117.317968503944,-105.33181666577,NaN
-117.317968503944,-102.446775781827,NaN
-117.317968503944,-99.5617348978839,NaN
-117.317968503944,-96.676694013941,NaN
-117.317968503944,-93.7916531299982,NaN
-117.317968503944,-90.9066122460553,NaN
-117.317968503944,-88.0215713621125,NaN
-117.317968503944,-85.1365304781696,NaN
-117.317968503944,-82.2514895942267,NaN
-117.317968503944,-79.3664487102839,NaN
-117.317968503944,-76.481407826341,NaN
-117.317968503944,-73.5963669423982,NaN
-117.317968503944,-70.7113260584553,NaN
-117.317968503944,-67.8262851745125,NaN
-117.317968503944,-64.9412442905696,NaN
-117.317968503944,-62.0562034066268,NaN
-117.317968503944,-59.1711625226839,NaN
-117.317968503944,-56.2861216387411,NaN
-117.317968503944,-53.4010807547982,NaN
-117.317968503944,-50.5160398708554,NaN
-117.317968503944,-47.6309989869125,NaN
-117.317968503944,-44.7459581029697,NaN
-117.317968503944,-41.8609172190268,NaN
-117.317968503944,-38.975876335084,NaN
-117.317968503944,-36.0908354511411,NaN
-117.317968503944,-33.2057945671983,NaN
-117.317968503944,-30.3207536832554,NaN
-117.317968503944,-27.4357127993126,NaN
-117.317968503944,-24.5506719153697,NaN
-117.317968503944,-21.6656310314269,NaN
-117.317968503944,-18.780590147484,NaN
-117.317968503944,-15.8955492635411,NaN
-117.317968503944,-13.0105083795983,NaN
-117.317968503944,-10.1254674956554,NaN
-117.317968503944,-7.24042661171259,NaN
-117.317968503944,-4.35538572776974,NaN
-117.317968503944,-1.47034484382689,NaN
-117.317968503944,1.41469604011596,NaN
-117.317968503944,4.29973692405881,NaN
-117.317968503944,7.18477780800166,NaN
-117.317968503944,10.0698186919445,NaN
-117.317968503944,12.9548595758874,NaN
-117.317968503944,15.8399004598302,NaN
-117.317968503944,18.7249413437731,NaN
-117.317968503944,21.6099822277159,NaN
-117.317968503944,24.4950231116588,NaN
-117.317968503944,27.3800639956016,NaN
-117.317968503944,30.2651048795445,NaN
-117.317968503944,33.1501457634873,NaN
-117.317968503944,36.0351866474302,NaN
-117.317968503944,38.920227531373,NaN
-117.317968503944,41.8052684153159,NaN
-117.317968503944,44.6903092992587,NaN
-117.317968503944,47.5753501832016,NaN
-117.317968503944,50.4603910671444,NaN
-117.317968503944,53.3454319510873,NaN
-117.317968503944,56.2304728350302,NaN
-117.317968503944,59.115513718973,NaN
-117.317968503944,62.0005546029159,NaN
-117.317968503944,64.8855954868587,NaN
-117.317968503944,67.7706363708016,NaN
-117.317968503944,70.6556772547444,NaN
-117.317968503944,73.5407181386873,NaN
-117.317968503944,76.4257590226301,NaN
-117.317968503944,79.310799906573,NaN
-117.317968503944,82.1958407905158,NaN
-117.317968503944,85.0808816744587,NaN
-117.317968503944,87.9659225584015,NaN
-117.317968503944,90.8509634423444,NaN
-117.317968503944,93.7360043262872,NaN
-117.317968503944,96.6210452102301,NaN
-117.317968503944,99.5060860941729,NaN
-117.317968503944,102.391126978116,NaN
-117.317968503944,105.276167862059,NaN
-117.317968503944,108.161208746001,NaN
-117.317968503944,111.046249629944,NaN
-117.317968503944,113.931290513887,NaN
-117.317968503944,116.81633139783,NaN
-117.317968503944,119.701372281773,NaN
-117.317968503944,122.586413165716,NaN
-117.317968503944,125.471454049659,NaN
-117.317968503944,128.356494933601,NaN
-117.317968503944,131.241535817544,NaN
-117.317968503944,134.126576701487,NaN
-117.317968503944,137.01161758543,NaN
-117.317968503944,139.896658469373,NaN
-117.317968503944,142.781699353316,NaN
-117.317968503944,145.666740237259,NaN
-117.317968503944,148.551781121201,NaN
