x,y,z
-237.73228346456,219.873504638672,NaN
-237.73228346456,216.411455577941,NaN
-237.73228346456,212.949406517209,NaN
-237.73228346456,209.487357456478,NaN
-237.73228346456,206.025308395746,NaN
-237.73228346456,202.563259335014,NaN
-237.73228346456,199.101210274283,NaN
-237.73228346456,195.639161213552,NaN
-237.73228346456,192.177112152821,NaN
-237.73228346456,188.715063092089,NaN
-237.73228346456,185.253014031358,NaN
-237.73228346456,181.790964970626,NaN
-237.73228346456,178.328915909894,NaN
-237.73228346456,174.866866849163,NaN
-237.73228346456,171.404817788432,NaN
-237.73228346456,167.942768727701,NaN
-237.73228346456,164.480719666969,NaN
-237.73228346456,161.018670606238,NaN
-237.73228346456,157.556621545506,NaN
-237.73228346456,154.094572484774,NaN
-237.73228346456,150.632523424044,NaN
-237.73228346456,147.170474363312,NaN
-237.73228346456,143.708425302581,NaN
-237.73228346456,140.246376241849,NaN
-237.73228346456,136.784327181118,NaN
-237.73228346456,133.322278120386,NaN
-237.73228346456,129.860229059654,NaN
-237.73228346456,126.398179998924,NaN
-237.73228346456,122.936130938192,NaN
-237.73228346456,119.474081877461,NaN
-237.73228346456,116.012032816729,NaN
-237.73228346456,112.549983755998,NaN
-237.73228346456,109.087934695266,NaN
-237.73228346456,105.625885634535,NaN
-237.73228346456,102.163836573804,NaN
-237.73228346456,98.701787513072,NaN
-237.73228346456,95.2397384523407,NaN
-237.73228346456,91.7776893916092,NaN
-237.73228346456,88.3156403308778,NaN
-237.73228346456,84.8535912701464,NaN
-237.73228346456,81.391542209415,NaN
-237.73228346456,77.9294931486835,NaN
-237.73228346456,74.4674440879522,NaN
-237.73228346456,71.0053950272207,NaN
-237.73228346456,67.5433459664893,NaN
-237.73228346456,64.0812969057578,NaN
-237.73228346456,60.6192478450265,NaN
-237.73228346456,57.157198784295,NaN
-237.73228346456,53.6951497235636,NaN
-237.73228346456,50.2331006628322,NaN
-237.73228346456,46.7710516021008,NaN
-237.73228346456,43.3090025413693,NaN
-237.73228346456,39.846953480638,NaN
-237.73228346456,36.3849044199065,NaN
-237.73228346456,32.9228553591751,NaN
-237.73228346456,29.4608062984436,NaN
-237.73228346456,25.9987572377123,NaN
-237.73228346456,22.5367081769808,NaN
-237.73228346456,19.0746591162493,NaN
-237.73228346456,15.612610055518,NaN
-237.73228346456,12.1505609947865,NaN
-237.73228346456,8.68851193405511,NaN
-237.73228346456,5.22646287332369,NaN
-237.73228346456,1.76441381259227,NaN
-237.73228346456,-1.69763524813915,NaN
-237.73228346456,-5.15968430887057,NaN
-237.73228346456,-8.62173336960199,NaN
-237.73228346456,-12.0837824303334,NaN
-237.73228346456,-15.5458314910649,NaN
-237.73228346456,-19.0078805517962,NaN
-237.73228346456,-22.4699296125277,NaN
-237.73228346456,-25.9319786732591,NaN
-237.73228346456,-29.3940277339906,NaN
-237.73228346456,-32.8560767947219,NaN
-237.73228346456,-36.3181258554534,NaN
-237.73228346456,-39.7801749161848,NaN
-237.73228346456,-43.2422239769162,NaN
-237.73228346456,-46.7042730376476,NaN
-237.73228346456,-50.1663220983791,NaN
-237.73228346456,-53.6283711591104,NaN
-237.73228346456,-57.0904202198419,NaN
-237.73228346456,-60.5524692805733,NaN
-237.73228346456,-64.0145183413048,NaN
-237.73228346456,-67.4765674020362,NaN
-237.73228346456,-70.9386164627676,NaN
-237.73228346456,-74.4006655234991,NaN
-237.73228346456,-77.8627145842304,NaN
-237.73228346456,-81.3247636449619,NaN
-237.73228346456,-84.7868127056933,NaN
-237.73228346456,-88.2488617664248,NaN
-237.73228346456,-91.7109108271561,NaN
-237.73228346456,-95.1729598878876,NaN
-237.73228346456,-98.635008948619,NaN
-237.73228346456,-102.09705800935,NaN
-237.73228346456,-105.559107070082,NaN
-237.73228346456,-109.021156130813,NaN
-237.73228346456,-112.483205191545,NaN
-237.73228346456,-115.945254252276,NaN
-237.73228346456,-119.407303313007,NaN
-237.73228346456,-122.869352373739,NaN
-237.73228346456,-126.331401434471,NaN
-237.73228346456,-129.793450495201,NaN
-237.73228346456,-133.255499555933,NaN
-237.73228346456,-136.717548616664,NaN
-237.73228346456,-140.179597677396,NaN
-237.73228346456,-143.641646738128,NaN
-237.73228346456,-147.103695798859,NaN
-237.73228346456,-150.565744859591,NaN
-237.73228346456,-154.027793920321,NaN
-237.73228346456,-157.489842981053,NaN
-237.73228346456,-160.951892041784,NaN
-237.73228346456,-164.413941102516,NaN
-237.73228346456,-167.875990163248,NaN
-237.73228346456,-171.338039223979,NaN
-237.73228346456,-174.800088284711,NaN
-237.73228346456,-178.262137345441,NaN
-237.73228346456,-181.724186406173,NaN
-237.73228346456,-185.186235466904,NaN
-237.73228346456,-188.648284527636,NaN
-237.73228346456,-192.110333588368,NaN
-237.73228346456,-195.572382649099,NaN
-237.73228346456,-199.034431709831,NaN
-237.73228346456,-202.496480770561,NaN
-237.73228346456,-205.958529831293,NaN
-237.73228346456,-209.420578892024,NaN
-237.73228346456,-212.882627952756,NaN
-237.73228346456,-216.344677013488,NaN
-237.73228346456,-219.806726074219,NaN
-234.236220472434,219.873504638672,NaN
-234.236220472434,216.411455577941,NaN
-234.236220472434,212.949406517209,NaN
-234.236220472434,209.487357456478,NaN
-234.236220472434,206.025308395746,NaN
-234.236220472434,202.563259335014,NaN
-234.236220472434,199.101210274283,NaN
-234.236220472434,195.639161213552,NaN
-234.236220472434,192.177112152821,NaN
-234.236220472434,188.715063092089,NaN
-234.236220472434,185.253014031358,NaN
-234.236220472434,181.790964970626,NaN
-234.236220472434,178.328915909894,NaN
-234.236220472434,174.866866849163,NaN
-234.236220472434,171.404817788432,NaN
-234.236220472434,167.942768727701,NaN
-234.236220472434,164.480719666969,NaN
-234.236220472434,161.018670606238,NaN
-234.236220472434,157.556621545506,NaN
-234.236220472434,154.094572484774,NaN
-234.236220472434,150.632523424044,NaN
-234.236220472434,147.170474363312,NaN
-234.236220472434,143.708425302581,NaN
-234.236220472434,140.246376241849,NaN
-234.236220472434,136.784327181118,NaN
-234.236220472434,133.322278120386,NaN
-234.236220472434,129.860229059654,NaN
-234.236220472434,126.398179998924,NaN
-234.236220472434,122.936130938192,NaN
-234.236220472434,119.474081877461,NaN
-234.236220472434,116.012032816729,NaN
-234.236220472434,112.549983755998,NaN
-234.236220472434,109.087934695266,NaN
-234.236220472434,105.625885634535,NaN
-234.236220472434,102.163836573804,NaN
-234.236220472434,98.701787513072,NaN
-234.236220472434,95.2397384523407,NaN
-234.236220472434,91.7776893916092,NaN
-234.236220472434,88.3156403308778,NaN
-234.236220472434,84.8535912701464,NaN
-234.236220472434,81.391542209415,NaN
-234.236220472434,77.9294931486835,NaN
-234.236220472434,74.4674440879522,NaN
-234.236220472434,71.0053950272207,NaN
-234.236220472434,67.5433459664893,NaN
-234.236220472434,64.0812969057578,NaN
-234.236220472434,60.6192478450265,NaN
-234.236220472434,57.157198784295,NaN
-234.236220472434,53.6951497235636,NaN
-234.236220472434,50.2331006628322,NaN
-234.236220472434,46.7710516021008,NaN
-234.236220472434,43.3090025413693,NaN
-234.236220472434,39.846953480638,NaN
-234.236220472434,36.3849044199065,NaN
-234.236220472434,32.9228553591751,NaN
-234.236220472434,29.4608062984436,NaN
-234.236220472434,25.9987572377123,NaN
-234.236220472434,22.5367081769808,NaN
-234.236220472434,19.0746591162493,NaN
-234.236220472434,15.612610055518,NaN
-234.236220472434,12.1505609947865,NaN
-234.236220472434,8.68851193405511,NaN
-234.236220472434,5.22646287332369,NaN
-234.236220472434,1.76441381259227,NaN
-234.236220472434,-1.69763524813915,NaN
-234.236220472434,-5.15968430887057,NaN
-234.236220472434,-8.62173336960199,NaN
-234.236220472434,-12.0837824303334,NaN
-234.236220472434,-15.5458314910649,NaN
-234.236220472434,-19.0078805517962,NaN
-234.236220472434,-22.4699296125277,NaN
-234.236220472434,-25.9319786732591,NaN
-234.236220472434,-29.3940277339906,NaN
-234.236220472434,-32.8560767947219,NaN
-234.236220472434,-36.3181258554534,NaN
-234.236220472434,-39.7801749161848,NaN
-234.236220472434,-43.2422239769162,NaN
-234.236220472434,-46.7042730376476,NaN
-234.236220472434,-50.1663220983791,NaN
-234.236220472434,-53.6283711591104,NaN
-234.236220472434,-57.0904202198419,NaN
-234.236220472434,-60.5524692805733,NaN
-234.236220472434,-64.0145183413048,NaN
-234.236220472434,-67.4765674020362,NaN
-234.236220472434,-70.9386164627676,NaN
-234.236220472434,-74.4006655234991,NaN
-234.236220472434,-77.8627145842304,NaN
-234.236220472434,-81.3247636449619,NaN
-234.236220472434,-84.7868127056933,NaN
-234.236220472434,-88.2488617664248,NaN
-234.236220472434,-91.7109108271561,NaN
-234.236220472434,-95.1729598878876,NaN
-234.236220472434,-98.635008948619,NaN
-234.236220472434,-102.09705800935,NaN
-234.236220472434,-105.559107070082,NaN
-234.236220472434,-109.021156130813,NaN
-234.236220472434,-112.483205191545,NaN
-234.236220472434,-115.945254252276,NaN
-234.236220472434,-119.407303313007,NaN
-234.236220472434,-122.869352373739,NaN
-234.236220472434,-126.331401434471,NaN
-234.236220472434,-129.793450495201,NaN
-234.236220472434,-133.255499555933,NaN
-234.236220472434,-136.717548616664,NaN
-234.236220472434,-140.179597677396,NaN
-234.236220472434,-143.641646738128,NaN
-234.236220472434,-147.103695798859,NaN
-234.236220472434,-150.565744859591,NaN
-234.236220472434,-154.027793920321,NaN
-234.236220472434,-157.489842981053,NaN
-234.236220472434,-160.951892041784,NaN
-234.236220472434,-164.413941102516,NaN
-234.236220472434,-167.875990163248,NaN
-234.236220472434,-171.338039223979,NaN
-234.236220472434,-174.800088284711,NaN
-234.236220472434,-178.262137345441,NaN
-234.236220472434,-181.724186406173,NaN
