x,y,z
-104.8714015748,-183.099002819825,0
-104.8714015748,-173.942662015229,NaN
-104.8714015748,-164.786321210633,NaN
-104.8714015748,-155.629980406037,NaN
-104.8714015748,-146.473639601441,0
-104.8714015748,-137.317298796845,0
-104.8714015748,-128.160957992249,NaN
-104.8714015748,-119.004617187653,NaN
-104.8714015748,-109.848276383057,0
-104.8714015748,-100.691935578461,0
-104.8714015748,-91.5355947738649,0
-104.8714015748,-82.3792539692689,NaN
-104.8714015748,-73.222913164673,NaN
-104.8714015748,-64.066572360077,NaN
-104.8714015748,-54.9102315554811,NaN
-104.8714015748,-45.7538907508851,0
-104.8714015748,-36.5975499462891,0
-104.8714015748,-27.4412091416932,0
-104.8714015748,-18.2848683370972,NaN
-104.8714015748,-9.12852753250121,0
-104.8714015748,0.027813272094761,NaN
-104.8714015748,9.18415407669073,NaN
-104.8714015748,18.3404948812867,0
-104.8714015748,27.4968356858827,0
-104.8714015748,36.6531764904786,NaN
-104.8714015748,45.8095172950746,NaN
-104.8714015748,54.9658580996706,0
-104.8714015748,64.1221989042666,0
-104.8714015748,73.2785397088625,NaN
-104.8714015748,82.4348805134585,NaN
-104.8714015748,91.5912213180544,0
-104.8714015748,100.74756212265,0
-104.8714015748,109.903902927246,NaN
-104.8714015748,119.060243731842,NaN
-104.8714015748,128.216584536438,NaN
-104.8714015748,137.372925341034,0
-104.8714015748,146.52926614563,0
-104.8714015748,155.685606950226,0
-104.8714015748,164.841947754822,0
-104.8714015748,173.998288559418,NaN
-104.8714015748,183.154629364014,NaN
-93.31612677165,-183.099002819825,NaN
-93.31612677165,-173.942662015229,0
-93.31612677165,-164.786321210633,NaN
-93.31612677165,-155.629980406037,NaN
-93.31612677165,-146.473639601441,0
-93.31612677165,-137.317298796845,0
-93.31612677165,-128.160957992249,NaN
-93.31612677165,-119.004617187653,0
-93.31612677165,-109.848276383057,0
-93.31612677165,-100.691935578461,NaN
-93.31612677165,-91.5355947738649,NaN
-93.31612677165,-82.3792539692689,0
-93.31612677165,-73.222913164673,NaN
-93.31612677165,-64.066572360077,0
-93.31612677165,-54.9102315554811,0
-93.31612677165,-45.7538907508851,NaN
-93.31612677165,-36.5975499462891,NaN
-93.31612677165,-27.4412091416932,0
-93.31612677165,-18.2848683370972,0
-93.31612677165,-9.12852753250121,NaN
-93.31612677165,0.027813272094761,0
-93.31612677165,9.18415407669073,NaN
-93.31612677165,18.3404948812867,NaN
-93.31612677165,27.4968356858827,0
-93.31612677165,36.6531764904786,0
-93.31612677165,45.8095172950746,NaN
-93.31612677165,54.9658580996706,NaN
-93.31612677165,64.1221989042666,0
-93.31612677165,73.2785397088625,NaN
-93.31612677165,82.4348805134585,0
-93.31612677165,91.5912213180544,0
-93.31612677165,100.74756212265,0
-93.31612677165,109.903902927246,0
-93.31612677165,119.060243731842,NaN
-93.31612677165,128.216584536438,0
-93.31612677165,137.372925341034,0
-93.31612677165,146.52926614563,NaN
-93.31612677165,155.685606950226,0
-93.31612677165,164.841947754822,0
-93.31612677165,173.998288559418,NaN
-93.31612677165,183.154629364014,NaN
-81.7608519685004,-183.099002819825,0
-81.7608519685004,-173.942662015229,0
-81.7608519685004,-164.786321210633,NaN
-81.7608519685004,-155.629980406037,0
-81.7608519685004,-146.473639601441,NaN
-81.7608519685004,-137.317298796845,NaN
-81.7608519685004,-128.160957992249,0
-81.7608519685004,-119.004617187653,0
-81.7608519685004,-109.848276383057,NaN
-81.7608519685004,-100.691935578461,0
-81.7608519685004,-91.5355947738649,NaN
-81.7608519685004,-82.3792539692689,0
-81.7608519685004,-73.222913164673,NaN
-81.7608519685004,-64.066572360077,NaN
-81.7608519685004,-54.9102315554811,0
-81.7608519685004,-45.7538907508851,NaN
-81.7608519685004,-36.5975499462891,NaN
-81.7608519685004,-27.4412091416932,0
-81.7608519685004,-18.2848683370972,NaN
-81.7608519685004,-9.12852753250121,NaN
-81.7608519685004,0.027813272094761,NaN
